file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
VNT028.npz,0.810821,0.000000,0.846536,0.725767,0.868899,0.842676,0.907737,0.894552,0.865997,0.809670,0.796908,0.760921,0.857522,0.914513,0.836293,0.848513,0.670561,0.834670,0.447446,0.845673,0.724905,0.863050,0.814815,0.897211,0.875378,0.843815,0.869592,0.846330,0.852362,0.875929,0.780496,0.505902
VNT045.npz,0.794170,0.000000,0.841381,0.721305,0.836657,0.832170,0.907949,0.901853,0.828942,0.824449,0.785444,0.781809,0.816274,0.920374,0.842058,0.833696,0.651965,0.838054,0.411552,0.834730,0.712644,0.842384,0.807203,0.893758,0.873758,0.842715,0.863833,0.830477,0.798328,0.853568,0.817169,0.278614
VNT048.npz,0.805386,0.000000,0.839593,0.719225,0.816584,0.836530,0.909795,0.900824,0.830016,0.787856,0.769908,0.798527,0.849685,0.928078,0.848469,0.812606,0.684032,0.855679,0.451108,0.847974,0.730176,0.836774,0.823466,0.898765,0.887399,0.825055,0.834772,0.852539,0.848564,0.814902,0.826874,0.495798
VNT057.npz,0.809220,0.000000,0.830073,0.719888,0.882119,0.846017,0.903448,0.898770,0.866209,0.820767,0.838722,0.781978,0.816783,0.914119,0.848365,0.848415,0.676345,0.824920,0.393001,0.848914,0.740597,0.871905,0.820343,0.903826,0.895008,0.828200,0.850449,0.837546,0.852876,0.829954,0.794823,0.492221
sub-0003.npz,0.811015,0.000000,0.839347,0.717894,0.859792,0.834013,0.900101,0.885719,0.855937,0.796909,0.813509,0.801666,0.829173,0.918768,0.858154,0.827653,0.663655,0.858386,0.479434,0.840777,0.720085,0.858602,0.828576,0.886591,0.886142,0.858080,0.847785,0.840834,0.840652,0.842671,0.845354,0.494175
sub-0027.npz,0.804998,0.000000,0.834999,0.715092,0.871425,0.826429,0.898831,0.893870,0.844378,0.816523,0.807165,0.780952,0.763484,0.906892,0.845365,0.824058,0.729872,0.846443,0.430030,0.841230,0.718266,0.871347,0.810584,0.884182,0.897515,0.843164,0.852097,0.830302,0.844556,0.873333,0.827620,0.419929
sub-0042.npz,0.784183,0.000000,0.816702,0.689501,0.813831,0.828155,0.890886,0.879448,0.850468,0.824739,0.822944,0.764088,0.761581,0.910749,0.825869,0.842156,0.626244,0.856281,0.267425,0.829201,0.700091,0.840919,0.804509,0.888290,0.885893,0.837253,0.865088,0.851676,0.825195,0.836315,0.837382,0.252616
sub-0043.npz,0.796771,0.000000,0.833074,0.698918,0.856822,0.839653,0.905021,0.896676,0.843327,0.810754,0.788163,0.793916,0.824438,0.886713,0.840169,0.836951,0.729006,0.848069,0.312896,0.834611,0.697652,0.850521,0.829232,0.885054,0.882932,0.797310,0.845469,0.811615,0.865111,0.839174,0.794169,0.425718
sub-0055.npz,0.812211,0.000000,0.836602,0.718868,0.877345,0.833767,0.900339,0.906620,0.859942,0.822316,0.818705,0.826561,0.841644,0.918358,0.843978,0.841210,0.708943,0.863673,0.442847,0.836046,0.712183,0.854547,0.842898,0.897558,0.890645,0.841033,0.855243,0.852213,0.848870,0.840044,0.827914,0.405423
sub-0079.npz,0.809165,0.000000,0.847795,0.729635,0.864859,0.846791,0.906349,0.907950,0.851420,0.814247,0.832136,0.772727,0.834720,0.919897,0.848969,0.831293,0.771167,0.857666,0.408833,0.837231,0.714764,0.855454,0.815674,0.904319,0.901651,0.839166,0.857581,0.845031,0.827752,0.827845,0.820185,0.381842
sub-0080.npz,0.810507,0.000000,0.842183,0.719335,0.869164,0.837231,0.897520,0.909091,0.843287,0.823053,0.806458,0.792453,0.823892,0.917387,0.845250,0.835479,0.686617,0.861770,0.446102,0.833563,0.700762,0.847230,0.835707,0.888922,0.902108,0.824793,0.856965,0.829433,0.843579,0.862779,0.843395,0.489703
sub-0081.npz,0.794903,0.000000,0.847324,0.719080,0.874947,0.799907,0.864525,0.895700,0.862477,0.815933,0.832841,0.767677,0.834649,0.906864,0.842432,0.797920,0.728209,0.844895,0.317157,0.835029,0.700142,0.868752,0.725580,0.837966,0.889449,0.835438,0.864233,0.824396,0.849222,0.831019,0.813365,0.419974
