file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
A0131.npz,0.834375,0.364067,0.850539,0.795516,0.867841,0.851896,0.876122,0.922424,0.871189,0.835422,0.807217,0.855043,0.842748,0.940784,0.793905,0.567532,0.696629,0.882414,0.539103,0.868801,0.830792,0.883831,0.872157,0.922073,0.914810,0.885509,0.914158,0.876957,0.876214,0.871080,0.871240,0.647295
A022.npz,0.870298,0.251831,0.875959,0.831597,0.901894,0.875975,0.936940,0.939179,0.913557,0.929855,0.893809,0.876468,0.886103,0.952012,0.873436,0.875535,0.668064,0.897245,0.619023,0.878315,0.834766,0.891198,0.876908,0.933683,0.935045,0.908031,0.931748,0.880067,0.875285,0.875127,0.903848,0.638279
A034.npz,0.875963,0.219351,0.879104,0.837299,0.904703,0.885343,0.931814,0.932885,0.899814,0.913128,0.890542,0.828105,0.879493,0.950622,0.862885,0.885421,0.806319,0.893281,0.654709,0.885208,0.844956,0.901458,0.897096,0.945022,0.937596,0.910858,0.923498,0.884431,0.885839,0.880381,0.897654,0.649430
A062.npz,0.872175,0.219981,0.882967,0.837406,0.895250,0.881404,0.936835,0.927717,0.906832,0.904430,0.879820,0.841021,0.865388,0.952561,0.873408,0.899385,0.777694,0.909290,0.606438,0.872058,0.828207,0.901762,0.891021,0.940420,0.930399,0.908062,0.926256,0.873396,0.874622,0.881349,0.899540,0.660309
CP009.npz,0.869050,0.214701,0.877630,0.831734,0.891156,0.875396,0.937856,0.941488,0.902338,0.928765,0.893044,0.863030,0.875591,0.950109,0.879318,0.869945,0.766284,0.894511,0.652266,0.882213,0.837251,0.876663,0.889092,0.937891,0.930582,0.880698,0.931063,0.889889,0.840356,0.863836,0.903793,0.577718
D025.npz,0.856165,0.209760,0.884604,0.835057,0.881001,0.858437,0.927588,0.932165,0.907284,0.914544,0.872458,0.856250,0.829738,0.943330,0.862149,0.894549,0.784328,0.906540,0.543532,0.874583,0.821842,0.863018,0.846790,0.921296,0.924342,0.882948,0.903899,0.860359,0.878953,0.854835,0.900061,0.518478
D031.npz,0.873614,0.169966,0.881731,0.829175,0.891426,0.881148,0.925892,0.937792,0.896251,0.918840,0.894067,0.861020,0.882077,0.949666,0.885445,0.854602,0.734285,0.907096,0.638646,0.885761,0.835335,0.884178,0.886873,0.935119,0.936726,0.890416,0.925663,0.892879,0.883949,0.899979,0.906886,0.675484
D032.npz,0.865502,0.196560,0.883091,0.828794,0.898887,0.869829,0.931790,0.944131,0.917061,0.926387,0.890086,0.862713,0.842833,0.948991,0.833146,0.834267,0.795344,0.890976,0.619420,0.885313,0.832481,0.884269,0.889959,0.938660,0.942819,0.906106,0.926436,0.894357,0.828775,0.883741,0.899001,0.535385
D040.npz,0.862737,0.250268,0.878353,0.823705,0.885160,0.870920,0.918105,0.929669,0.912401,0.921345,0.892351,0.839349,0.866082,0.944228,0.853162,0.881057,0.701006,0.877027,0.613808,0.882120,0.828488,0.882281,0.884404,0.934125,0.932024,0.900762,0.915352,0.890103,0.865809,0.856775,0.883741,0.618390
D055.npz,0.877355,0.175742,0.882760,0.829218,0.908419,0.873056,0.930295,0.943617,0.917126,0.926770,0.909055,0.847099,0.878590,0.948339,0.879703,0.860979,0.732658,0.906710,0.683770,0.886417,0.834438,0.908975,0.893720,0.941522,0.939803,0.910861,0.921623,0.900662,0.881019,0.861175,0.901629,0.680638
EDP016.npz,0.871128,0.172206,0.884427,0.825031,0.885121,0.864306,0.921194,0.944712,0.907372,0.919499,0.900596,0.854321,0.858730,0.950125,0.865408,0.877193,0.827980,0.902489,0.628704,0.889506,0.835138,0.886614,0.860846,0.924719,0.943768,0.888889,0.923331,0.881306,0.872253,0.876214,0.905680,0.628356
EDP026.npz,0.866464,0.211310,0.879895,0.828053,0.880204,0.876471,0.932735,0.939044,0.882132,0.901594,0.882376,0.862713,0.858074,0.952148,0.870442,0.850916,0.784463,0.902226,0.570902,0.876835,0.824126,0.880762,0.882594,0.933344,0.941858,0.867314,0.920368,0.895510,0.885215,0.865364,0.899246,0.667002
HP_IA037.npz,0.867228,0.242409,0.883202,0.825649,0.891218,0.891076,0.942249,0.934448,0.893825,0.919630,0.888934,0.854041,0.888847,0.950789,0.875099,0.854206,0.676022,0.891342,0.593164,0.879795,0.825955,0.895993,0.891633,0.944172,0.933320,0.895151,0.930191,0.901049,0.891165,0.897873,0.893520,0.583293
HP_IA038.npz,0.880383,0.222354,0.889312,0.829360,0.906839,0.898046,0.937306,0.942262,0.910568,0.917955,0.899700,0.851303,0.868335,0.951332,0.889437,0.884160,0.749228,0.913902,0.644722,0.888973,0.831937,0.909969,0.900525,0.943491,0.937100,0.913126,0.920962,0.890735,0.886973,0.879450,0.911125,0.713364
HP_IA042.npz,0.867397,0.214677,0.887447,0.831498,0.889561,0.848174,0.910094,0.940267,0.905471,0.932176,0.889297,0.891498,0.868640,0.949606,0.876796,0.887696,0.724756,0.911871,0.596836,0.886171,0.833679,0.872765,0.873568,0.921787,0.938990,0.892770,0.921314,0.885161,0.886582,0.874417,0.918087,0.574936
HP_IA043.npz,0.870303,0.230977,0.880601,0.819793,0.900754,0.885690,0.922246,0.936909,0.916191,0.924437,0.908840,0.857501,0.892279,0.941925,0.867391,0.884259,0.674747,0.896492,0.607555,0.881413,0.825672,0.897198,0.874094,0.934342,0.935356,0.900952,0.909166,0.892435,0.888178,0.880699,0.915957,0.656023
HP_IA045.npz,0.881215,0.216881,0.881827,0.825557,0.908674,0.890420,0.937906,0.946394,0.919587,0.913925,0.882564,0.860691,0.854942,0.949468,0.886771,0.887278,0.830660,0.909498,0.673056,0.882900,0.829669,0.892546,0.887399,0.933788,0.944969,0.905404,0.924286,0.868545,0.889982,0.877606,0.912284,0.727860
HP_IA055.npz,0.878414,0.191740,0.889334,0.836163,0.902213,0.871397,0.935645,0.945470,0.921467,0.932958,0.902483,0.852907,0.874184,0.952523,0.868161,0.850998,0.830380,0.903801,0.654621,0.890807,0.840176,0.893672,0.865738,0.930273,0.936621,0.911427,0.925224,0.893143,0.882273,0.894440,0.912706,0.651208
PILOT006.npz,0.877184,0.192721,0.890681,0.837060,0.893801,0.892202,0.938394,0.940062,0.903471,0.928645,0.897783,0.854674,0.868365,0.950970,0.854766,0.859197,0.820745,0.901806,0.653266,0.889338,0.838959,0.900264,0.889812,0.939143,0.935793,0.914202,0.925533,0.891179,0.877235,0.881074,0.905300,0.641812
PILOT014.npz,0.877595,0.195773,0.886460,0.829972,0.911204,0.863353,0.932956,0.947935,0.906176,0.924231,0.896210,0.821971,0.872147,0.950141,0.864508,0.860619,0.800143,0.906850,0.650501,0.889872,0.838956,0.913855,0.878355,0.937152,0.945833,0.917507,0.926070,0.907764,0.876089,0.877129,0.912371,0.681526
PILOT018.npz,0.885951,0.209663,0.887726,0.834692,0.913982,0.865056,0.922336,0.948306,0.920317,0.931219,0.915268,0.872411,0.878282,0.952819,0.876725,0.869153,0.839612,0.912314,0.706745,0.889931,0.838777,0.901254,0.888244,0.933466,0.949416,0.906962,0.934317,0.914767,0.884568,0.874312,0.919865,0.695690
PILOT051.npz,0.859284,0.223553,0.887856,0.835629,0.910163,0.888932,0.940532,0.934836,0.902906,0.915229,0.854820,0.799203,0.870417,0.946587,0.870183,0.833554,0.773408,0.878719,0.664921,0.881679,0.826592,0.897045,0.867011,0.898607,0.923664,0.895699,0.897942,0.868588,0.851029,0.756041,0.872073,0.634659
PILOT055.npz,0.875335,0.187695,0.890526,0.839537,0.893669,0.885903,0.936561,0.937553,0.913494,0.924603,0.879307,0.867894,0.870940,0.951119,0.882414,0.895743,0.708982,0.911007,0.652291,0.880460,0.829185,0.879689,0.880500,0.936068,0.933628,0.908420,0.926300,0.900460,0.869795,0.879949,0.910769,0.683290
PILOT062.npz,0.867318,0.250196,0.881415,0.826783,0.892718,0.864440,0.914974,0.933531,0.912322,0.923779,0.904393,0.859038,0.867870,0.946583,0.870462,0.877898,0.699037,0.892451,0.570243,0.889179,0.838598,0.892913,0.869743,0.932445,0.932959,0.915709,0.919846,0.886946,0.869611,0.886320,0.905298,0.642045
T008.npz,0.872123,0.199406,0.883120,0.836643,0.902018,0.871767,0.934363,0.939892,0.901149,0.919869,0.890312,0.848412,0.880807,0.948559,0.871325,0.888017,0.739399,0.904826,0.626646,0.884443,0.840927,0.897138,0.869460,0.936081,0.933850,0.891206,0.926093,0.872322,0.879383,0.857807,0.902926,0.684932
T013.npz,0.861061,0.257026,0.874888,0.826050,0.895002,0.878162,0.921211,0.936239,0.889712,0.883325,0.819645,0.789431,0.873835,0.949008,0.862953,0.836794,0.773626,0.868484,0.629630,0.880057,0.830960,0.900707,0.878128,0.918419,0.936325,0.892542,0.920105,0.865714,0.875899,0.856115,0.869057,0.699811
T037.npz,0.875844,0.206696,0.881145,0.836964,0.894549,0.887875,0.930025,0.945674,0.908798,0.923438,0.891653,0.838790,0.882228,0.953001,0.870770,0.875932,0.754175,0.899552,0.651007,0.884291,0.842675,0.883630,0.889002,0.932349,0.944199,0.876608,0.916405,0.882156,0.886732,0.881204,0.907644,0.722857
T053.npz,0.874472,0.219254,0.887918,0.842961,0.901897,0.843660,0.923218,0.935814,0.909661,0.914335,0.896552,0.851389,0.835608,0.952814,0.872753,0.861087,0.760048,0.910348,0.689409,0.883098,0.838306,0.898654,0.865510,0.930978,0.935270,0.921228,0.928904,0.883613,0.891141,0.868230,0.903885,0.695858
T054.npz,0.875239,0.232115,0.880910,0.833587,0.897276,0.885707,0.936100,0.942342,0.904557,0.911965,0.875862,0.853639,0.873351,0.950049,0.870280,0.874649,0.725552,0.899564,0.655136,0.877924,0.831206,0.900398,0.899215,0.942726,0.942899,0.902624,0.933441,0.892227,0.889355,0.888528,0.895810,0.690282
T070.npz,0.874828,0.235724,0.879475,0.833380,0.882075,0.875043,0.930175,0.942075,0.905508,0.925339,0.881665,0.848138,0.889885,0.953870,0.888534,0.878545,0.813397,0.895205,0.673319,0.878281,0.831791,0.876147,0.879068,0.934577,0.943391,0.897054,0.930812,0.880306,0.874369,0.862448,0.896516,0.664471
T073.npz,0.876095,0.250656,0.878288,0.832806,0.900975,0.883729,0.938903,0.930830,0.896492,0.916900,0.900336,0.873317,0.875313,0.953107,0.873297,0.873957,0.787925,0.910911,0.641741,0.877762,0.833474,0.878713,0.894711,0.942690,0.934351,0.894932,0.922025,0.878899,0.884606,0.871038,0.899591,0.701228
T076.npz,0.870244,0.212351,0.881226,0.839989,0.898884,0.882304,0.936459,0.929702,0.902757,0.919656,0.887173,0.853288,0.871174,0.950060,0.873424,0.866697,0.790939,0.882657,0.617360,0.879863,0.838370,0.888794,0.877641,0.938462,0.930481,0.901332,0.914324,0.867428,0.885739,0.873908,0.885202,0.642032
T079.npz,0.864537,0.259508,0.876949,0.828399,0.886644,0.825693,0.892474,0.936359,0.897388,0.924145,0.886532,0.852830,0.855476,0.946133,0.871723,0.876501,0.779231,0.892485,0.629741,0.878322,0.834010,0.889023,0.835883,0.912485,0.937762,0.889165,0.921132,0.880527,0.901792,0.853147,0.888314,0.655832
T091.npz,0.873363,0.226242,0.882638,0.842162,0.898054,0.872558,0.927379,0.935227,0.904455,0.925481,0.915397,0.849105,0.876077,0.949529,0.875608,0.895888,0.787023,0.904339,0.661252,0.881498,0.840496,0.890348,0.840631,0.920587,0.937621,0.907020,0.921106,0.874604,0.864587,0.877746,0.907541,0.634948
T099.npz,0.876525,0.211758,0.886150,0.839138,0.902787,0.863115,0.933068,0.938322,0.914987,0.937705,0.900478,0.851592,0.869222,0.950214,0.877842,0.900347,0.740594,0.903022,0.667686,0.885359,0.840358,0.895884,0.870439,0.933699,0.936508,0.910552,0.928629,0.895088,0.884510,0.870096,0.888315,0.680036
T108.npz,0.877610,0.239478,0.885152,0.839559,0.905979,0.882608,0.935866,0.939698,0.913414,0.927013,0.886440,0.853513,0.863359,0.953738,0.885755,0.885752,0.789071,0.896906,0.666019,0.880210,0.834064,0.887539,0.893542,0.941316,0.935233,0.905503,0.920665,0.893449,0.877305,0.879619,0.893734,0.676272
VNT006.npz,0.865500,0.266690,0.881783,0.824548,0.906364,0.883730,0.928453,0.933103,0.914946,0.917937,0.883584,0.859464,0.863378,0.950987,0.861416,0.853126,0.775643,0.905439,0.622509,0.879576,0.820547,0.898469,0.891032,0.917965,0.941640,0.913792,0.931306,0.897557,0.859454,0.813805,0.907072,0.526367
VNT017.npz,0.876240,0.266678,0.883673,0.827069,0.903361,0.880839,0.933118,0.942333,0.909750,0.918062,0.896456,0.843515,0.870082,0.949480,0.865211,0.891742,0.721161,0.900026,0.649973,0.887683,0.833838,0.909353,0.878110,0.930781,0.938486,0.913447,0.922741,0.905192,0.878389,0.886118,0.910365,0.706845
VNT019.npz,0.873624,0.222694,0.883978,0.835771,0.905259,0.879691,0.932782,0.940481,0.913267,0.921110,0.902745,0.861526,0.850838,0.948689,0.879204,0.904097,0.726270,0.910711,0.597156,0.880685,0.833627,0.900430,0.885137,0.935246,0.939940,0.905295,0.926231,0.911515,0.879291,0.885584,0.913344,0.618807
VNT028.npz,0.876256,0.199721,0.892304,0.835831,0.896389,0.867445,0.932207,0.941551,0.915534,0.917605,0.897653,0.837971,0.879768,0.947608,0.882784,0.885455,0.735219,0.907810,0.666667,0.889963,0.835688,0.898314,0.851554,0.929400,0.943478,0.911984,0.916893,0.898533,0.894206,0.916826,0.906779,0.654264
VNT045.npz,0.864087,0.217632,0.884886,0.834411,0.881223,0.843547,0.923776,0.941205,0.909179,0.923841,0.889150,0.850141,0.842293,0.944064,0.894593,0.884615,0.686664,0.903982,0.671803,0.881532,0.831633,0.880918,0.851155,0.922183,0.944769,0.919945,0.927039,0.900708,0.842003,0.876805,0.904342,0.530207
VNT048.npz,0.871822,0.187550,0.884096,0.824311,0.887899,0.871009,0.933282,0.941051,0.910897,0.917884,0.878829,0.872126,0.888201,0.951809,0.890150,0.872784,0.808023,0.892136,0.598883,0.888675,0.831394,0.891905,0.879787,0.934653,0.937516,0.902461,0.923254,0.895188,0.874656,0.855800,0.892086,0.623915
VNT057.npz,0.878476,0.189584,0.877386,0.827111,0.907714,0.883471,0.930654,0.943503,0.914584,0.920882,0.896565,0.835496,0.859419,0.950239,0.883948,0.899191,0.763489,0.910522,0.662747,0.888358,0.839225,0.906118,0.876026,0.932444,0.940206,0.910300,0.928670,0.898616,0.881746,0.864972,0.907915,0.712761
sub-0003.npz,0.876501,0.222863,0.886352,0.827602,0.907816,0.871263,0.926672,0.936549,0.922374,0.921859,0.893309,0.882861,0.878465,0.949445,0.879612,0.898780,0.729637,0.905788,0.676576,0.879451,0.820974,0.902276,0.869869,0.904766,0.940009,0.913220,0.919292,0.895829,0.887550,0.894048,0.905835,0.666963
sub-0027.npz,0.878023,0.269160,0.882933,0.822241,0.911104,0.882965,0.935320,0.937704,0.902315,0.920924,0.911426,0.840591,0.848841,0.947843,0.881307,0.878928,0.755362,0.902580,0.694812,0.891870,0.831935,0.910787,0.874429,0.921316,0.940352,0.913814,0.926951,0.904996,0.886253,0.891327,0.917901,0.671573
sub-0042.npz,0.859175,0.312163,0.873550,0.807047,0.883563,0.860266,0.927240,0.905346,0.906563,0.905198,0.880032,0.855382,0.853892,0.944644,0.860426,0.892232,0.672607,0.892553,0.511628,0.885947,0.819730,0.881261,0.875119,0.932599,0.931802,0.920245,0.924044,0.904376,0.859815,0.894703,0.899661,0.613772
sub-0043.npz,0.872546,0.274416,0.886192,0.825093,0.905366,0.874668,0.931808,0.943616,0.904920,0.904922,0.846318,0.853222,0.878230,0.953522,0.878189,0.855995,0.828109,0.911034,0.587668,0.886104,0.821934,0.897549,0.883409,0.937253,0.940197,0.889563,0.926472,0.876781,0.889784,0.885610,0.911610,0.661252
sub-0055.npz,0.877295,0.250280,0.884160,0.827623,0.911246,0.889089,0.937842,0.933660,0.920388,0.924948,0.879079,0.844135,0.881303,0.948964,0.885009,0.890285,0.710445,0.901337,0.658129,0.885216,0.828333,0.895370,0.901588,0.942124,0.930772,0.910142,0.930442,0.897099,0.891954,0.887621,0.906287,0.684259
sub-0079.npz,0.875034,0.174507,0.889463,0.835059,0.911338,0.872971,0.937831,0.940004,0.916433,0.920717,0.887186,0.836059,0.849620,0.941181,0.878219,0.891458,0.814815,0.901560,0.674051,0.884454,0.831357,0.899784,0.889660,0.939001,0.934748,0.916735,0.923274,0.904099,0.860208,0.897149,0.903008,0.569585
sub-0080.npz,0.871958,0.241440,0.884039,0.825948,0.912185,0.878097,0.923000,0.938647,0.915074,0.927358,0.899942,0.840995,0.878940,0.942947,0.888126,0.897091,0.692706,0.887674,0.656426,0.880220,0.822245,0.901832,0.884615,0.934220,0.931004,0.898854,0.907317,0.894292,0.883674,0.856522,0.898454,0.676289
sub-0081.npz,0.870188,0.265830,0.892760,0.821380,0.909304,0.863077,0.921783,0.941520,0.918765,0.917297,0.900526,0.851217,0.853045,0.945578,0.868757,0.882627,0.694745,0.894550,0.636116,0.885062,0.819463,0.900290,0.857278,0.916434,0.938542,0.916333,0.924522,0.878547,0.887924,0.892680,0.904542,0.670968
