D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 63/100    time: 1.35 sec  loss: -0.096674  (-0.096704, 0.000030)
epoch: 0001  step: 64/100    time: 1.36 sec  loss: -0.089698  (-0.089724, 0.000026)
epoch: 0001  step: 65/100    time: 1.36 sec  loss: -0.084242  (-0.084265, 0.000024)
epoch: 0001  step: 66/100    time: 1.36 sec  loss: -0.082137  (-0.082159, 0.000023)
epoch: 0001  step: 67/100    time: 1.36 sec  loss: -0.088278  (-0.088302, 0.000024)
epoch: 0001  step: 68/100    time: 1.36 sec  loss: -0.087848  (-0.087874, 0.000026)
epoch: 0001  step: 69/100    time: 1.37 sec  loss: -0.090879  (-0.090908, 0.000029)
epoch: 0001  step: 70/100    time: 1.38 sec  loss: -0.094988  (-0.095021, 0.000033)
epoch: 0001  step: 71/100    time: 1.38 sec  loss: -0.094817  (-0.094855, 0.000037)
epoch: 0001  step: 72/100    time: 1.37 sec  loss: -0.093078  (-0.093122, 0.000043)
epoch: 0001  step: 73/100    time: 1.37 sec  loss: -0.089480  (-0.089530, 0.000050)
epoch: 0001  step: 74/100    time: 1.37 sec  loss: -0.088809  (-0.088868, 0.000059)
epoch: 0001  step: 75/100    time: 1.38 sec  loss: -0.091903  (-0.091971, 0.000068)
epoch: 0001  step: 76/100    time: 1.36 sec  loss: -0.101069  (-0.101141, 0.000072)
epoch: 0001  step: 77/100    time: 1.38 sec  loss: -0.081550  (-0.081618, 0.000067)
epoch: 0001  step: 78/100    time: 1.38 sec  loss: -0.091792  (-0.091854, 0.000062)
epoch: 0001  step: 79/100    time: 1.37 sec  loss: -0.088152  (-0.088213, 0.000061)
epoch: 0001  step: 80/100    time: 1.39 sec  loss: -0.088522  (-0.088585, 0.000063)
epoch: 0001  step: 81/100    time: 1.37 sec  loss: -0.093105  (-0.093170, 0.000064)
epoch: 0001  step: 82/100    time: 1.37 sec  loss: -0.093292  (-0.093360, 0.000068)
epoch: 0001  step: 83/100    time: 1.37 sec  loss: -0.091013  (-0.091084, 0.000071)
epoch: 0001  step: 84/100    time: 1.39 sec  loss: -0.089185  (-0.089265, 0.000080)
epoch: 0001  step: 85/100    time: 1.39 sec  loss: -0.091192  (-0.091280, 0.000088)
epoch: 0001  step: 86/100    time: 1.41 sec  loss: -0.087832  (-0.087925, 0.000092)
epoch: 0001  step: 87/100    time: 1.40 sec  loss: -0.078618  (-0.078716, 0.000098)
epoch: 0001  step: 88/100    time: 1.39 sec  loss: -0.088494  (-0.088601, 0.000107)
epoch: 0001  step: 89/100    time: 1.42 sec  loss: -0.091515  (-0.091627, 0.000112)
epoch: 0001  step: 90/100    time: 1.38 sec  loss: -0.091079  (-0.091187, 0.000108)
epoch: 0001  step: 91/100    time: 1.41 sec  loss: -0.084730  (-0.084827, 0.000097)
epoch: 0001  step: 92/100    time: 1.41 sec  loss: -0.081374  (-0.081458, 0.000085)
epoch: 0001  step: 93/100    time: 1.43 sec  loss: -0.093060  (-0.093141, 0.000081)
epoch: 0001  step: 94/100    time: 1.41 sec  loss: -0.097153  (-0.097234, 0.000080)
epoch: 0001  step: 95/100    time: 1.43 sec  loss: -0.095033  (-0.095116, 0.000084)
epoch: 0001  step: 96/100    time: 1.43 sec  loss: -0.079590  (-0.079676, 0.000085)
epoch: 0001  step: 97/100    time: 1.41 sec  loss: -0.088430  (-0.088524, 0.000094)
epoch: 0001  step: 98/100    time: 1.44 sec  loss: -0.089346  (-0.089456, 0.000109)
epoch: 0001  step: 99/100    time: 1.43 sec  loss: -0.093007  (-0.093133, 0.000126)
epoch: 0001  step: 100/100   time: 1.45 sec  loss: -0.101339  (-0.101472, 0.000133)
epoch: 0002  step: 1/100     time: 0.85 sec  loss: -0.092175  (-0.092302, 0.000127)
epoch: 0002  step: 2/100     time: 1.41 sec  loss: -0.088173  (-0.088281, 0.000108)
epoch: 0002  step: 3/100     time: 1.46 sec  loss: -0.095524  (-0.095617, 0.000093)
epoch: 0002  step: 4/100     time: 1.43 sec  loss: -0.100445  (-0.100528, 0.000082)
epoch: 0002  step: 5/100     time: 1.44 sec  loss: -0.088074  (-0.088153, 0.000079)
epoch: 0002  step: 6/100     time: 1.46 sec  loss: -0.077375  (-0.077453, 0.000079)
epoch: 0002  step: 7/100     time: 1.43 sec  loss: -0.086288  (-0.086369, 0.000081)
epoch: 0002  step: 8/100     time: 1.42 sec  loss: -0.091894  (-0.091980, 0.000086)
epoch: 0002  step: 9/100     time: 1.45 sec  loss: -0.091380  (-0.091471, 0.000091)
epoch: 0002  step: 10/100    time: 1.42 sec  loss: -0.085568  (-0.085663, 0.000095)
epoch: 0002  step: 11/100    time: 1.47 sec  loss: -0.095616  (-0.095719, 0.000104)
