D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 63/100    time: 2.27 sec  loss: -0.092895  (-0.092975, 0.000080)
epoch: 0001  step: 64/100    time: 2.05 sec  loss: -0.096622  (-0.096713, 0.000090)
epoch: 0001  step: 65/100    time: 2.15 sec  loss: -0.096834  (-0.096928, 0.000094)
epoch: 0001  step: 66/100    time: 2.29 sec  loss: -0.088161  (-0.088260, 0.000099)
epoch: 0001  step: 67/100    time: 2.32 sec  loss: -0.092171  (-0.092265, 0.000094)
epoch: 0001  step: 68/100    time: 2.28 sec  loss: -0.089560  (-0.089648, 0.000088)
epoch: 0001  step: 69/100    time: 2.32 sec  loss: -0.094621  (-0.094700, 0.000079)
epoch: 0001  step: 70/100    time: 2.33 sec  loss: -0.083733  (-0.083804, 0.000070)
epoch: 0001  step: 71/100    time: 2.31 sec  loss: -0.080124  (-0.080188, 0.000063)
epoch: 0001  step: 72/100    time: 2.29 sec  loss: -0.092266  (-0.092326, 0.000060)
epoch: 0001  step: 73/100    time: 2.29 sec  loss: -0.097064  (-0.097121, 0.000057)
epoch: 0001  step: 74/100    time: 2.33 sec  loss: -0.093037  (-0.093093, 0.000056)
epoch: 0001  step: 75/100    time: 2.23 sec  loss: -0.084294  (-0.084351, 0.000057)
epoch: 0001  step: 76/100    time: 2.04 sec  loss: -0.097662  (-0.097725, 0.000063)
epoch: 0001  step: 77/100    time: 2.25 sec  loss: -0.089837  (-0.089908, 0.000071)
epoch: 0001  step: 78/100    time: 2.25 sec  loss: -0.091941  (-0.092020, 0.000078)
epoch: 0001  step: 79/100    time: 2.25 sec  loss: -0.089318  (-0.089411, 0.000093)
epoch: 0001  step: 80/100    time: 2.22 sec  loss: -0.085711  (-0.085816, 0.000104)
epoch: 0001  step: 81/100    time: 2.21 sec  loss: -0.083242  (-0.083360, 0.000118)
epoch: 0001  step: 82/100    time: 2.25 sec  loss: -0.100119  (-0.100249, 0.000130)
epoch: 0001  step: 83/100    time: 2.22 sec  loss: -0.093031  (-0.093154, 0.000123)
epoch: 0001  step: 84/100    time: 2.25 sec  loss: -0.080788  (-0.080903, 0.000115)
epoch: 0001  step: 85/100    time: 2.27 sec  loss: -0.085977  (-0.086080, 0.000103)
epoch: 0001  step: 86/100    time: 2.23 sec  loss: -0.099144  (-0.099236, 0.000092)
epoch: 0001  step: 87/100    time: 2.03 sec  loss: -0.085712  (-0.085796, 0.000084)
epoch: 0001  step: 88/100    time: 2.22 sec  loss: -0.090564  (-0.090643, 0.000079)
epoch: 0001  step: 89/100    time: 2.30 sec  loss: -0.089943  (-0.090020, 0.000077)
epoch: 0001  step: 90/100    time: 2.28 sec  loss: -0.098087  (-0.098163, 0.000076)
epoch: 0001  step: 91/100    time: 2.26 sec  loss: -0.096330  (-0.096411, 0.000082)
epoch: 0001  step: 92/100    time: 2.20 sec  loss: -0.086609  (-0.086694, 0.000085)
epoch: 0001  step: 93/100    time: 2.24 sec  loss: -0.086411  (-0.086506, 0.000095)
epoch: 0001  step: 94/100    time: 2.25 sec  loss: -0.100244  (-0.100352, 0.000109)
epoch: 0001  step: 95/100    time: 2.24 sec  loss: -0.096884  (-0.097001, 0.000116)
epoch: 0001  step: 96/100    time: 2.21 sec  loss: -0.089245  (-0.089368, 0.000123)
epoch: 0001  step: 97/100    time: 2.21 sec  loss: -0.101544  (-0.101663, 0.000119)
epoch: 0001  step: 98/100    time: 2.21 sec  loss: -0.090350  (-0.090477, 0.000127)
epoch: 0001  step: 99/100    time: 2.23 sec  loss: -0.094244  (-0.094369, 0.000125)
epoch: 0001  step: 100/100   time: 2.20 sec  loss: -0.086928  (-0.087055, 0.000127)
epoch: 0002  step: 1/100     time: 0.95 sec  loss: -0.091369  (-0.091495, 0.000126)
epoch: 0002  step: 2/100     time: 2.13 sec  loss: -0.095663  (-0.095793, 0.000131)
epoch: 0002  step: 3/100     time: 2.22 sec  loss: -0.100908  (-0.101053, 0.000146)
epoch: 0002  step: 4/100     time: 2.19 sec  loss: -0.103270  (-0.103411, 0.000141)
epoch: 0002  step: 5/100     time: 2.17 sec  loss: -0.096006  (-0.096148, 0.000143)
epoch: 0002  step: 6/100     time: 2.20 sec  loss: -0.093258  (-0.093379, 0.000121)
epoch: 0002  step: 7/100     time: 2.20 sec  loss: -0.100620  (-0.100730, 0.000110)
epoch: 0002  step: 8/100     time: 2.22 sec  loss: -0.086293  (-0.086403, 0.000109)
epoch: 0002  step: 9/100     time: 2.24 sec  loss: -0.095421  (-0.095528, 0.000107)
epoch: 0002  step: 10/100    time: 2.18 sec  loss: -0.096637  (-0.096737, 0.000100)
epoch: 0002  step: 11/100    time: 2.27 sec  loss: -0.090303  (-0.090407, 0.000104)
epoch: 0002  step: 12/100    time: 2.25 sec  loss: -0.087923  (-0.088034, 0.000112)
epoch: 0002  step: 13/100    time: 2.24 sec  loss: -0.092286  (-0.092404, 0.000118)
epoch: 0002  step: 14/100    time: 2.30 sec  loss: -0.087490  (-0.087613, 0.000123)
epoch: 0002  step: 15/100    time: 2.30 sec  loss: -0.097409  (-0.097531, 0.000122)
epoch: 0002  step: 16/100    time: 2.24 sec  loss: -0.092325  (-0.092453, 0.000128)
epoch: 0002  step: 17/100    time: 2.27 sec  loss: -0.096233  (-0.096356, 0.000123)
epoch: 0002  step: 18/100    time: 2.22 sec  loss: -0.091585  (-0.091700, 0.000115)
epoch: 0002  step: 19/100    time: 2.24 sec  loss: -0.099510  (-0.099629, 0.000118)
epoch: 0002  step: 20/100    time: 2.25 sec  loss: -0.094518  (-0.094640, 0.000122)
epoch: 0002  step: 21/100    time: 2.24 sec  loss: -0.090564  (-0.090692, 0.000128)
epoch: 0002  step: 22/100    time: 2.23 sec  loss: -0.098339  (-0.098480, 0.000141)
epoch: 0002  step: 23/100    time: 2.27 sec  loss: -0.100475  (-0.100619, 0.000144)
epoch: 0002  step: 24/100    time: 2.24 sec  loss: -0.090970  (-0.091104, 0.000134)
epoch: 0002  step: 25/100    time: 2.23 sec  loss: -0.079118  (-0.079244, 0.000126)
epoch: 0002  step: 26/100    time: 2.22 sec  loss: -0.095465  (-0.095591, 0.000126)
epoch: 0002  step: 27/100    time: 2.24 sec  loss: -0.088763  (-0.088885, 0.000122)
epoch: 0002  step: 28/100    time: 2.22 sec  loss: -0.098690  (-0.098813, 0.000123)
epoch: 0002  step: 29/100    time: 2.22 sec  loss: -0.103456  (-0.103576, 0.000120)
epoch: 0002  step: 30/100    time: 1.92 sec  loss: -0.097318  (-0.097431, 0.000112)
