D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.71 sec  loss: 0.012499  (0.012499, 0.000000)
epoch: 0001  step: 2/100     time: 0.84 sec  loss: 0.011702  (0.011702, 0.000000)
epoch: 0001  step: 3/100     time: 1.02 sec  loss: 0.012018  (0.012018, 0.000000)
epoch: 0001  step: 4/100     time: 1.03 sec  loss: 0.012226  (0.012226, 0.000000)
epoch: 0001  step: 5/100     time: 1.03 sec  loss: 0.012363  (0.012363, 0.000000)
epoch: 0001  step: 6/100     time: 1.03 sec  loss: 0.012599  (0.012599, 0.000000)
epoch: 0001  step: 7/100     time: 1.02 sec  loss: 0.011475  (0.011475, 0.000000)
epoch: 0001  step: 8/100     time: 1.02 sec  loss: 0.010757  (0.010757, 0.000000)
epoch: 0001  step: 9/100     time: 1.03 sec  loss: 0.012026  (0.012026, 0.000000)
epoch: 0001  step: 10/100    time: 1.01 sec  loss: 0.012236  (0.012236, 0.000000)
epoch: 0001  step: 11/100    time: 1.01 sec  loss: 0.013609  (0.013609, 0.000000)
epoch: 0001  step: 12/100    time: 1.00 sec  loss: 0.013646  (0.013646, 0.000000)
epoch: 0001  step: 13/100    time: 1.04 sec  loss: 0.011858  (0.011858, 0.000000)
epoch: 0001  step: 14/100    time: 1.01 sec  loss: 0.012956  (0.012956, 0.000000)
epoch: 0001  step: 15/100    time: 1.03 sec  loss: 0.012297  (0.012297, 0.000000)
epoch: 0001  step: 16/100    time: 1.04 sec  loss: 0.013602  (0.013602, 0.000000)
epoch: 0001  step: 17/100    time: 1.04 sec  loss: 0.012591  (0.012591, 0.000000)
epoch: 0001  step: 18/100    time: 1.02 sec  loss: 0.013353  (0.013353, 0.000000)
epoch: 0001  step: 19/100    time: 1.03 sec  loss: 0.013182  (0.013182, 0.000000)
epoch: 0001  step: 20/100    time: 1.02 sec  loss: 0.012435  (0.012435, 0.000000)
epoch: 0001  step: 21/100    time: 1.06 sec  loss: 0.013132  (0.013132, 0.000000)
epoch: 0001  step: 22/100    time: 1.02 sec  loss: 0.011849  (0.011849, 0.000000)
epoch: 0001  step: 23/100    time: 1.03 sec  loss: 0.013057  (0.013057, 0.000000)
epoch: 0001  step: 24/100    time: 1.02 sec  loss: 0.011839  (0.011839, 0.000000)
epoch: 0001  step: 25/100    time: 1.03 sec  loss: 0.011187  (0.011187, 0.000000)
epoch: 0001  step: 26/100    time: 1.04 sec  loss: 0.012472  (0.012471, 0.000001)
epoch: 0001  step: 27/100    time: 1.03 sec  loss: 0.012471  (0.012470, 0.000001)
epoch: 0001  step: 28/100    time: 1.02 sec  loss: 0.011428  (0.011426, 0.000002)
epoch: 0001  step: 29/100    time: 1.05 sec  loss: 0.013351  (0.013349, 0.000002)
epoch: 0001  step: 30/100    time: 1.03 sec  loss: 0.011404  (0.011403, 0.000001)
epoch: 0001  step: 31/100    time: 1.03 sec  loss: 0.013280  (0.013279, 0.000001)
epoch: 0001  step: 32/100    time: 1.04 sec  loss: 0.011895  (0.011894, 0.000001)
epoch: 0001  step: 33/100    time: 1.04 sec  loss: 0.011588  (0.011587, 0.000001)
epoch: 0001  step: 34/100    time: 1.03 sec  loss: 0.012973  (0.012972, 0.000001)
epoch: 0001  step: 35/100    time: 1.05 sec  loss: 0.013674  (0.013673, 0.000001)
epoch: 0001  step: 36/100    time: 1.05 sec  loss: 0.012543  (0.012542, 0.000001)
epoch: 0001  step: 37/100    time: 1.05 sec  loss: 0.013515  (0.013514, 0.000001)
epoch: 0001  step: 38/100    time: 1.03 sec  loss: 0.012671  (0.012670, 0.000001)
epoch: 0001  step: 39/100    time: 1.04 sec  loss: 0.011307  (0.011306, 0.000001)
epoch: 0001  step: 40/100    time: 1.05 sec  loss: 0.013478  (0.013477, 0.000001)
