D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.60 sec  loss: -0.083507  (-0.083507, 0.000000)
epoch: 0001  step: 2/100     time: 1.27 sec  loss: -0.090586  (-0.090586, 0.000000)
epoch: 0001  step: 3/100     time: 1.32 sec  loss: -0.084494  (-0.084494, 0.000000)
epoch: 0001  step: 4/100     time: 1.30 sec  loss: -0.075536  (-0.075536, 0.000000)
epoch: 0001  step: 5/100     time: 1.31 sec  loss: -0.090512  (-0.090512, 0.000000)
epoch: 0001  step: 6/100     time: 1.32 sec  loss: -0.089738  (-0.089738, 0.000000)
epoch: 0001  step: 7/100     time: 1.31 sec  loss: -0.084903  (-0.084903, 0.000000)
epoch: 0001  step: 8/100     time: 1.32 sec  loss: -0.088359  (-0.088359, 0.000000)
epoch: 0001  step: 9/100     time: 1.33 sec  loss: -0.088519  (-0.088520, 0.000000)
epoch: 0001  step: 10/100    time: 1.32 sec  loss: -0.089674  (-0.089675, 0.000001)
epoch: 0001  step: 11/100    time: 1.33 sec  loss: -0.085293  (-0.085294, 0.000001)
epoch: 0001  step: 12/100    time: 1.32 sec  loss: -0.075413  (-0.075414, 0.000002)
epoch: 0001  step: 13/100    time: 1.33 sec  loss: -0.086532  (-0.086535, 0.000003)
epoch: 0001  step: 14/100    time: 1.34 sec  loss: -0.082903  (-0.082909, 0.000005)
epoch: 0001  step: 15/100    time: 1.34 sec  loss: -0.092260  (-0.092270, 0.000009)
epoch: 0001  step: 16/100    time: 1.35 sec  loss: -0.093415  (-0.093432, 0.000016)
epoch: 0001  step: 17/100    time: 1.34 sec  loss: -0.086207  (-0.086234, 0.000028)
epoch: 0001  step: 18/100    time: 1.33 sec  loss: -0.090604  (-0.090649, 0.000045)
epoch: 0001  step: 19/100    time: 1.33 sec  loss: -0.092057  (-0.092132, 0.000074)
epoch: 0001  step: 20/100    time: 1.34 sec  loss: -0.095339  (-0.095453, 0.000114)
epoch: 0001  step: 21/100    time: 1.33 sec  loss: -0.100227  (-0.100339, 0.000112)
epoch: 0001  step: 22/100    time: 1.34 sec  loss: -0.085318  (-0.085414, 0.000096)
epoch: 0001  step: 23/100    time: 1.34 sec  loss: -0.085523  (-0.085620, 0.000096)
epoch: 0001  step: 24/100    time: 1.33 sec  loss: -0.096146  (-0.096229, 0.000083)
epoch: 0001  step: 25/100    time: 1.34 sec  loss: -0.093303  (-0.093377, 0.000075)
epoch: 0001  step: 26/100    time: 1.33 sec  loss: -0.090743  (-0.090805, 0.000063)
epoch: 0001  step: 27/100    time: 1.32 sec  loss: -0.088443  (-0.088499, 0.000056)
epoch: 0001  step: 28/100    time: 1.32 sec  loss: -0.078476  (-0.078527, 0.000051)
epoch: 0001  step: 29/100    time: 1.34 sec  loss: -0.089119  (-0.089170, 0.000051)
epoch: 0001  step: 30/100    time: 1.33 sec  loss: -0.094854  (-0.094906, 0.000052)
epoch: 0001  step: 31/100    time: 1.33 sec  loss: -0.087287  (-0.087343, 0.000056)
epoch: 0001  step: 32/100    time: 1.32 sec  loss: -0.089825  (-0.089885, 0.000060)
epoch: 0001  step: 33/100    time: 1.34 sec  loss: -0.090224  (-0.090291, 0.000067)
epoch: 0001  step: 34/100    time: 1.33 sec  loss: -0.094520  (-0.094594, 0.000074)
epoch: 0001  step: 35/100    time: 1.33 sec  loss: -0.092721  (-0.092807, 0.000086)
epoch: 0001  step: 36/100    time: 1.34 sec  loss: -0.087767  (-0.087859, 0.000091)
epoch: 0001  step: 37/100    time: 1.33 sec  loss: -0.093527  (-0.093624, 0.000097)
