D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 63/100    time: 1.51 sec  loss: -0.093020  (-0.093187, 0.000167)
epoch: 0001  step: 64/100    time: 1.56 sec  loss: -0.093386  (-0.093567, 0.000181)
epoch: 0001  step: 65/100    time: 1.55 sec  loss: -0.100548  (-0.100733, 0.000185)
epoch: 0001  step: 66/100    time: 1.51 sec  loss: -0.095736  (-0.095920, 0.000185)
epoch: 0001  step: 67/100    time: 1.50 sec  loss: -0.089682  (-0.089847, 0.000165)
epoch: 0001  step: 68/100    time: 1.49 sec  loss: -0.099162  (-0.099304, 0.000141)
epoch: 0001  step: 69/100    time: 1.53 sec  loss: -0.085134  (-0.085254, 0.000120)
epoch: 0001  step: 70/100    time: 1.51 sec  loss: -0.081928  (-0.082033, 0.000105)
epoch: 0001  step: 71/100    time: 1.53 sec  loss: -0.087088  (-0.087186, 0.000098)
epoch: 0001  step: 72/100    time: 1.53 sec  loss: -0.086130  (-0.086227, 0.000097)
epoch: 0001  step: 73/100    time: 1.54 sec  loss: -0.085014  (-0.085110, 0.000096)
epoch: 0001  step: 74/100    time: 1.53 sec  loss: -0.087102  (-0.087203, 0.000101)
epoch: 0001  step: 75/100    time: 1.51 sec  loss: -0.091021  (-0.091131, 0.000110)
epoch: 0001  step: 76/100    time: 1.55 sec  loss: -0.095224  (-0.095348, 0.000124)
epoch: 0001  step: 77/100    time: 1.51 sec  loss: -0.090200  (-0.090339, 0.000139)
epoch: 0001  step: 78/100    time: 1.59 sec  loss: -0.090823  (-0.090980, 0.000158)
epoch: 0001  step: 79/100    time: 1.56 sec  loss: -0.089117  (-0.089294, 0.000176)
epoch: 0001  step: 80/100    time: 1.52 sec  loss: -0.087729  (-0.087920, 0.000190)
epoch: 0001  step: 81/100    time: 1.57 sec  loss: -0.093605  (-0.093807, 0.000202)
epoch: 0001  step: 82/100    time: 1.53 sec  loss: -0.091490  (-0.091692, 0.000202)
epoch: 0001  step: 83/100    time: 1.53 sec  loss: -0.071082  (-0.071294, 0.000212)
epoch: 0001  step: 84/100    time: 1.51 sec  loss: -0.099156  (-0.099358, 0.000202)
epoch: 0001  step: 85/100    time: 1.55 sec  loss: -0.088809  (-0.089005, 0.000196)
epoch: 0001  step: 86/100    time: 1.53 sec  loss: -0.095688  (-0.095870, 0.000182)
epoch: 0001  step: 87/100    time: 1.54 sec  loss: -0.083008  (-0.083168, 0.000161)
epoch: 0001  step: 88/100    time: 1.56 sec  loss: -0.084636  (-0.084780, 0.000144)
epoch: 0001  step: 89/100    time: 1.53 sec  loss: -0.097014  (-0.097147, 0.000133)
epoch: 0001  step: 90/100    time: 1.55 sec  loss: -0.088083  (-0.088210, 0.000126)
epoch: 0001  step: 91/100    time: 1.56 sec  loss: -0.083835  (-0.083959, 0.000124)
epoch: 0001  step: 92/100    time: 1.53 sec  loss: -0.094660  (-0.094785, 0.000125)
epoch: 0001  step: 93/100    time: 1.57 sec  loss: -0.089633  (-0.089762, 0.000129)
epoch: 0001  step: 94/100    time: 1.58 sec  loss: -0.088969  (-0.089107, 0.000137)
epoch: 0001  step: 95/100    time: 1.54 sec  loss: -0.095066  (-0.095214, 0.000147)
epoch: 0001  step: 96/100    time: 1.56 sec  loss: -0.094759  (-0.094917, 0.000158)
epoch: 0001  step: 97/100    time: 1.54 sec  loss: -0.094712  (-0.094879, 0.000168)
epoch: 0001  step: 98/100    time: 1.54 sec  loss: -0.084293  (-0.084465, 0.000173)
epoch: 0001  step: 99/100    time: 1.54 sec  loss: -0.088552  (-0.088726, 0.000174)
epoch: 0001  step: 100/100   time: 1.54 sec  loss: -0.083901  (-0.084086, 0.000185)
epoch: 0002  step: 1/100     time: 0.78 sec  loss: -0.083357  (-0.083545, 0.000187)
epoch: 0002  step: 2/100     time: 1.55 sec  loss: -0.089659  (-0.089839, 0.000180)
epoch: 0002  step: 3/100     time: 1.51 sec  loss: -0.095128  (-0.095294, 0.000166)
epoch: 0002  step: 4/100     time: 1.56 sec  loss: -0.090581  (-0.090734, 0.000153)
epoch: 0002  step: 5/100     time: 1.53 sec  loss: -0.091553  (-0.091692, 0.000139)
epoch: 0002  step: 6/100     time: 1.60 sec  loss: -0.086812  (-0.086945, 0.000132)
epoch: 0002  step: 7/100     time: 1.56 sec  loss: -0.089828  (-0.089964, 0.000135)
epoch: 0002  step: 8/100     time: 1.53 sec  loss: -0.087468  (-0.087610, 0.000142)
epoch: 0002  step: 9/100     time: 1.56 sec  loss: -0.087489  (-0.087642, 0.000153)
epoch: 0002  step: 10/100    time: 1.55 sec  loss: -0.098824  (-0.098988, 0.000164)
epoch: 0002  step: 11/100    time: 1.62 sec  loss: -0.084793  (-0.084964, 0.000171)
epoch: 0002  step: 12/100    time: 1.55 sec  loss: -0.079856  (-0.080037, 0.000181)
epoch: 0002  step: 13/100    time: 1.52 sec  loss: -0.097079  (-0.097267, 0.000188)
epoch: 0002  step: 14/100    time: 1.58 sec  loss: -0.091051  (-0.091238, 0.000187)
epoch: 0002  step: 15/100    time: 1.54 sec  loss: -0.088895  (-0.089078, 0.000182)
epoch: 0002  step: 16/100    time: 1.54 sec  loss: -0.091677  (-0.091843, 0.000166)
epoch: 0002  step: 17/100    time: 1.53 sec  loss: -0.087323  (-0.087470, 0.000147)
epoch: 0002  step: 18/100    time: 1.56 sec  loss: -0.087426  (-0.087557, 0.000130)
epoch: 0002  step: 19/100    time: 1.60 sec  loss: -0.071116  (-0.071242, 0.000126)
epoch: 0002  step: 20/100    time: 1.52 sec  loss: -0.094732  (-0.094858, 0.000126)
epoch: 0002  step: 21/100    time: 1.56 sec  loss: -0.095389  (-0.095524, 0.000135)
epoch: 0002  step: 22/100    time: 1.53 sec  loss: -0.086626  (-0.086777, 0.000151)
epoch: 0002  step: 23/100    time: 1.56 sec  loss: -0.092615  (-0.092782, 0.000167)
epoch: 0002  step: 24/100    time: 1.56 sec  loss: -0.083214  (-0.083400, 0.000186)
epoch: 0002  step: 25/100    time: 1.57 sec  loss: -0.096142  (-0.096349, 0.000207)
epoch: 0002  step: 26/100    time: 1.57 sec  loss: -0.091186  (-0.091419, 0.000233)
epoch: 0002  step: 27/100    time: 1.54 sec  loss: -0.085814  (-0.086057, 0.000243)
epoch: 0002  step: 28/100    time: 1.56 sec  loss: -0.094924  (-0.095183, 0.000259)
epoch: 0002  step: 29/100    time: 1.57 sec  loss: -0.090187  (-0.090445, 0.000258)
epoch: 0002  step: 30/100    time: 1.53 sec  loss: -0.098754  (-0.098980, 0.000226)
epoch: 0002  step: 31/100    time: 1.57 sec  loss: -0.090199  (-0.090393, 0.000194)
epoch: 0002  step: 32/100    time: 1.51 sec  loss: -0.098821  (-0.098995, 0.000174)
epoch: 0002  step: 33/100    time: 1.53 sec  loss: -0.082176  (-0.082343, 0.000166)
epoch: 0002  step: 34/100    time: 1.53 sec  loss: -0.085707  (-0.085871, 0.000164)
epoch: 0002  step: 35/100    time: 1.59 sec  loss: -0.096356  (-0.096533, 0.000176)
epoch: 0002  step: 36/100    time: 1.53 sec  loss: -0.086093  (-0.086289, 0.000196)
epoch: 0002  step: 37/100    time: 1.54 sec  loss: -0.080836  (-0.081062, 0.000226)
epoch: 0002  step: 38/100    time: 1.52 sec  loss: -0.094230  (-0.094460, 0.000230)
epoch: 0002  step: 39/100    time: 1.55 sec  loss: -0.089065  (-0.089290, 0.000224)
epoch: 0002  step: 40/100    time: 1.56 sec  loss: -0.085007  (-0.085208, 0.000201)
epoch: 0002  step: 41/100    time: 1.54 sec  loss: -0.091423  (-0.091599, 0.000176)
epoch: 0002  step: 42/100    time: 1.56 sec  loss: -0.095655  (-0.095817, 0.000161)
epoch: 0002  step: 43/100    time: 1.54 sec  loss: -0.096361  (-0.096514, 0.000153)
epoch: 0002  step: 44/100    time: 1.53 sec  loss: -0.095334  (-0.095493, 0.000159)
epoch: 0002  step: 45/100    time: 1.53 sec  loss: -0.089745  (-0.089912, 0.000167)
epoch: 0002  step: 46/100    time: 1.56 sec  loss: -0.075184  (-0.075375, 0.000191)
epoch: 0002  step: 47/100    time: 1.52 sec  loss: -0.092310  (-0.092508, 0.000199)
epoch: 0002  step: 48/100    time: 1.58 sec  loss: -0.095881  (-0.096105, 0.000224)
epoch: 0002  step: 49/100    time: 1.55 sec  loss: -0.093972  (-0.094215, 0.000244)
epoch: 0002  step: 50/100    time: 1.60 sec  loss: -0.091668  (-0.091905, 0.000237)
epoch: 0002  step: 51/100    time: 1.60 sec  loss: -0.089985  (-0.090233, 0.000248)
epoch: 0002  step: 52/100    time: 1.56 sec  loss: -0.085896  (-0.086137, 0.000241)
epoch: 0002  step: 53/100    time: 1.53 sec  loss: -0.097297  (-0.097549, 0.000252)
epoch: 0002  step: 54/100    time: 1.59 sec  loss: -0.088376  (-0.088650, 0.000274)
epoch: 0002  step: 55/100    time: 1.53 sec  loss: -0.096187  (-0.096440, 0.000253)
epoch: 0002  step: 56/100    time: 1.57 sec  loss: -0.090359  (-0.090598, 0.000239)
epoch: 0002  step: 57/100    time: 1.58 sec  loss: -0.090123  (-0.090358, 0.000234)
epoch: 0002  step: 58/100    time: 1.53 sec  loss: -0.081746  (-0.081972, 0.000226)
epoch: 0002  step: 59/100    time: 1.54 sec  loss: -0.088279  (-0.088520, 0.000241)
epoch: 0002  step: 60/100    time: 1.52 sec  loss: -0.084983  (-0.085294, 0.000310)
epoch: 0002  step: 61/100    time: 1.57 sec  loss: -0.093600  (-0.093814, 0.000214)
epoch: 0002  step: 62/100    time: 1.52 sec  loss: -0.089233  (-0.089461, 0.000228)
epoch: 0002  step: 63/100    time: 1.56 sec  loss: -0.099056  (-0.099253, 0.000197)
epoch: 0002  step: 64/100    time: 1.56 sec  loss: -0.096569  (-0.096745, 0.000176)
epoch: 0002  step: 65/100    time: 1.57 sec  loss: -0.089065  (-0.089262, 0.000197)
epoch: 0002  step: 66/100    time: 1.59 sec  loss: -0.101660  (-0.101844, 0.000184)
epoch: 0002  step: 67/100    time: 1.55 sec  loss: -0.096404  (-0.096627, 0.000223)
epoch: 0002  step: 68/100    time: 1.54 sec  loss: -0.095491  (-0.095718, 0.000227)
epoch: 0002  step: 69/100    time: 1.54 sec  loss: -0.094067  (-0.094323, 0.000257)
epoch: 0002  step: 70/100    time: 1.59 sec  loss: -0.099519  (-0.099881, 0.000362)
epoch: 0002  step: 71/100    time: 1.56 sec  loss: -0.086557  (-0.086854, 0.000297)
epoch: 0002  step: 72/100    time: 1.53 sec  loss: -0.089456  (-0.089730, 0.000274)
epoch: 0002  step: 73/100    time: 1.57 sec  loss: -0.086718  (-0.086980, 0.000262)
epoch: 0002  step: 74/100    time: 1.54 sec  loss: -0.098088  (-0.098363, 0.000275)
epoch: 0002  step: 75/100    time: 1.58 sec  loss: -0.092535  (-0.092820, 0.000285)
epoch: 0002  step: 76/100    time: 1.57 sec  loss: -0.089104  (-0.089439, 0.000336)
epoch: 0002  step: 77/100    time: 1.54 sec  loss: -0.076365  (-0.076775, 0.000410)
epoch: 0002  step: 78/100    time: 1.56 sec  loss: -0.096953  (-0.097319, 0.000366)
epoch: 0002  step: 79/100    time: 1.58 sec  loss: -0.096259  (-0.096599, 0.000340)
epoch: 0002  step: 80/100    time: 1.53 sec  loss: -0.093404  (-0.093702, 0.000298)
epoch: 0002  step: 81/100    time: 1.56 sec  loss: -0.092446  (-0.092800, 0.000354)
epoch: 0002  step: 82/100    time: 1.54 sec  loss: -0.086435  (-0.086870, 0.000435)
epoch: 0002  step: 83/100    time: 1.59 sec  loss: -0.087120  (-0.087540, 0.000421)
epoch: 0002  step: 84/100    time: 1.59 sec  loss: -0.076816  (-0.077430, 0.000614)
epoch: 0002  step: 85/100    time: 1.53 sec  loss: -0.100382  (-0.100810, 0.000428)
epoch: 0002  step: 86/100    time: 1.57 sec  loss: -0.092539  (-0.093014, 0.000475)
epoch: 0002  step: 87/100    time: 1.56 sec  loss: -0.083972  (-0.084557, 0.000585)
epoch: 0002  step: 88/100    time: 1.55 sec  loss: -0.093798  (-0.094159, 0.000360)
epoch: 0002  step: 89/100    time: 1.57 sec  loss: -0.086956  (-0.087471, 0.000515)
epoch: 0002  step: 90/100    time: 1.53 sec  loss: -0.088155  (-0.088687, 0.000532)
epoch: 0002  step: 91/100    time: 1.58 sec  loss: -0.085026  (-0.085661, 0.000635)
epoch: 0002  step: 92/100    time: 1.56 sec  loss: -0.078353  (-0.078960, 0.000606)
epoch: 0002  step: 93/100    time: 1.53 sec  loss: -0.085361  (-0.086014, 0.000654)
epoch: 0002  step: 94/100    time: 1.59 sec  loss: -0.092084  (-0.092742, 0.000658)
epoch: 0002  step: 95/100    time: 1.56 sec  loss: -0.078508  (-0.079010, 0.000502)
epoch: 0002  step: 96/100    time: 1.58 sec  loss: -0.089897  (-0.090604, 0.000707)
epoch: 0002  step: 97/100    time: 1.60 sec  loss: -0.091431  (-0.092262, 0.000831)
epoch: 0002  step: 98/100    time: 1.58 sec  loss: -0.097266  (-0.098221, 0.000955)
epoch: 0002  step: 99/100    time: 1.52 sec  loss: -0.091746  (-0.092905, 0.001159)
epoch: 0002  step: 100/100   time: 1.61 sec  loss: -0.096816  (-0.097622, 0.000806)
epoch: 0003  step: 1/100     time: 0.78 sec  loss: -0.085716  (-0.087036, 0.001320)
epoch: 0003  step: 2/100     time: 1.56 sec  loss: -0.089212  (-0.090066, 0.000854)
epoch: 0003  step: 3/100     time: 1.56 sec  loss: -0.087073  (-0.088182, 0.001109)
epoch: 0003  step: 4/100     time: 1.55 sec  loss: -0.094685  (-0.096244, 0.001560)
epoch: 0003  step: 5/100     time: 1.59 sec  loss: -0.087202  (-0.088548, 0.001346)
epoch: 0003  step: 6/100     time: 1.54 sec  loss: -0.086307  (-0.087653, 0.001346)
epoch: 0003  step: 7/100     time: 1.56 sec  loss: -0.096928  (-0.098044, 0.001116)
epoch: 0003  step: 8/100     time: 1.58 sec  loss: -0.090282  (-0.091582, 0.001300)
epoch: 0003  step: 9/100     time: 1.53 sec  loss: -0.089646  (-0.090977, 0.001332)
epoch: 0003  step: 10/100    time: 1.58 sec  loss: -0.099063  (-0.100868, 0.001805)
epoch: 0003  step: 11/100    time: 1.58 sec  loss: -0.094526  (-0.096804, 0.002278)
epoch: 0003  step: 12/100    time: 1.55 sec  loss: -0.104054  (-0.105824, 0.001770)
epoch: 0003  step: 13/100    time: 1.57 sec  loss: -0.091648  (-0.093689, 0.002041)
epoch: 0003  step: 14/100    time: 1.61 sec  loss: -0.103753  (-0.105954, 0.002202)
epoch: 0003  step: 15/100    time: 1.53 sec  loss: -0.096842  (-0.099084, 0.002242)
epoch: 0003  step: 16/100    time: 1.53 sec  loss: -0.100268  (-0.102196, 0.001928)
epoch: 0003  step: 17/100    time: 1.53 sec  loss: -0.092387  (-0.094264, 0.001877)
epoch: 0003  step: 18/100    time: 1.59 sec  loss: -0.095031  (-0.097453, 0.002422)
epoch: 0003  step: 19/100    time: 1.59 sec  loss: -0.095907  (-0.098406, 0.002499)
epoch: 0003  step: 20/100    time: 1.56 sec  loss: -0.095972  (-0.098796, 0.002824)
epoch: 0003  step: 21/100    time: 1.57 sec  loss: -0.096105  (-0.098985, 0.002880)
epoch: 0003  step: 22/100    time: 1.56 sec  loss: -0.091745  (-0.094875, 0.003130)
epoch: 0003  step: 23/100    time: 1.55 sec  loss: -0.104569  (-0.107589, 0.003020)
epoch: 0003  step: 24/100    time: 1.60 sec  loss: -0.092635  (-0.096296, 0.003661)
epoch: 0003  step: 25/100    time: 1.61 sec  loss: -0.104992  (-0.108654, 0.003663)
epoch: 0003  step: 26/100    time: 1.52 sec  loss: -0.107904  (-0.112179, 0.004275)
epoch: 0003  step: 27/100    time: 1.61 sec  loss: -0.095899  (-0.101223, 0.005324)
epoch: 0003  step: 28/100    time: 1.54 sec  loss: -0.094464  (-0.100164, 0.005700)
epoch: 0003  step: 29/100    time: 1.53 sec  loss: -0.096246  (-0.102828, 0.006582)
epoch: 0003  step: 30/100    time: 1.58 sec  loss: -0.098050  (-0.104559, 0.006509)
epoch: 0003  step: 31/100    time: 1.53 sec  loss: -0.100856  (-0.107046, 0.006190)
epoch: 0003  step: 32/100    time: 1.56 sec  loss: -0.105584  (-0.112191, 0.006607)
epoch: 0003  step: 33/100    time: 1.54 sec  loss: -0.096968  (-0.103757, 0.006789)
epoch: 0003  step: 34/100    time: 1.58 sec  loss: -0.102430  (-0.109944, 0.007515)
epoch: 0003  step: 35/100    time: 1.57 sec  loss: -0.093804  (-0.101167, 0.007363)
epoch: 0003  step: 36/100    time: 1.53 sec  loss: -0.102888  (-0.110686, 0.007798)
epoch: 0003  step: 37/100    time: 1.58 sec  loss: -0.095743  (-0.103782, 0.008040)
epoch: 0003  step: 38/100    time: 1.57 sec  loss: -0.100156  (-0.107791, 0.007635)
epoch: 0003  step: 39/100    time: 1.53 sec  loss: -0.092151  (-0.100317, 0.008166)
epoch: 0003  step: 40/100    time: 1.59 sec  loss: -0.103024  (-0.110843, 0.007819)
epoch: 0003  step: 41/100    time: 1.55 sec  loss: -0.112344  (-0.118852, 0.006508)
epoch: 0003  step: 42/100    time: 1.57 sec  loss: -0.107030  (-0.113526, 0.006496)
epoch: 0003  step: 43/100    time: 1.57 sec  loss: -0.104189  (-0.109964, 0.005775)
epoch: 0003  step: 44/100    time: 1.55 sec  loss: -0.090905  (-0.097070, 0.006165)
epoch: 0003  step: 45/100    time: 1.56 sec  loss: -0.098194  (-0.104248, 0.006054)
epoch: 0003  step: 46/100    time: 1.61 sec  loss: -0.108604  (-0.114273, 0.005668)
epoch: 0003  step: 47/100    time: 1.56 sec  loss: -0.101679  (-0.107330, 0.005650)
epoch: 0003  step: 48/100    time: 1.56 sec  loss: -0.111027  (-0.116646, 0.005620)
epoch: 0003  step: 49/100    time: 1.58 sec  loss: -0.107758  (-0.113560, 0.005802)
epoch: 0003  step: 50/100    time: 1.55 sec  loss: -0.101511  (-0.107811, 0.006301)
epoch: 0003  step: 51/100    time: 1.57 sec  loss: -0.112278  (-0.118992, 0.006713)
epoch: 0003  step: 52/100    time: 1.61 sec  loss: -0.104615  (-0.112067, 0.007452)
epoch: 0003  step: 53/100    time: 1.60 sec  loss: -0.109461  (-0.116586, 0.007125)
