D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 9.87 sec  loss: -0.083897  (-0.083897, 0.000000)
epoch: 0001  step: 2/100     time: 2.24 sec  loss: -0.084676  (-0.084676, 0.000000)
epoch: 0001  step: 3/100     time: 2.06 sec  loss: -0.085429  (-0.085429, 0.000000)
epoch: 0001  step: 4/100     time: 2.09 sec  loss: -0.080304  (-0.080304, 0.000000)
epoch: 0001  step: 5/100     time: 2.13 sec  loss: -0.085023  (-0.085023, 0.000000)
epoch: 0001  step: 6/100     time: 2.15 sec  loss: -0.078291  (-0.078291, 0.000000)
epoch: 0001  step: 7/100     time: 2.50 sec  loss: -0.070864  (-0.070864, 0.000000)
epoch: 0001  step: 8/100     time: 2.19 sec  loss: -0.082625  (-0.082626, 0.000000)
epoch: 0001  step: 9/100     time: 2.14 sec  loss: -0.081100  (-0.081101, 0.000000)
epoch: 0001  step: 10/100    time: 2.15 sec  loss: -0.088428  (-0.088428, 0.000000)
epoch: 0001  step: 11/100    time: 2.08 sec  loss: -0.082012  (-0.082012, 0.000000)
epoch: 0001  step: 12/100    time: 2.38 sec  loss: -0.082599  (-0.082600, 0.000001)
epoch: 0001  step: 13/100    time: 2.27 sec  loss: -0.082435  (-0.082436, 0.000001)
epoch: 0001  step: 14/100    time: 2.15 sec  loss: -0.092266  (-0.092268, 0.000001)
epoch: 0001  step: 15/100    time: 2.15 sec  loss: -0.097223  (-0.097225, 0.000002)
epoch: 0001  step: 16/100    time: 2.05 sec  loss: -0.081840  (-0.081843, 0.000004)
epoch: 0001  step: 17/100    time: 2.10 sec  loss: -0.083526  (-0.083531, 0.000006)
epoch: 0001  step: 18/100    time: 2.41 sec  loss: -0.083818  (-0.083828, 0.000009)
epoch: 0001  step: 19/100    time: 2.17 sec  loss: -0.088235  (-0.088249, 0.000014)
epoch: 0001  step: 20/100    time: 2.05 sec  loss: -0.071201  (-0.071222, 0.000021)
epoch: 0001  step: 21/100    time: 2.04 sec  loss: -0.091910  (-0.091949, 0.000039)
epoch: 0001  step: 22/100    time: 2.15 sec  loss: -0.094603  (-0.094663, 0.000060)
epoch: 0001  step: 23/100    time: 2.06 sec  loss: -0.091095  (-0.091192, 0.000096)
epoch: 0001  step: 24/100    time: 2.17 sec  loss: -0.089984  (-0.090101, 0.000118)
epoch: 0001  step: 25/100    time: 2.48 sec  loss: -0.092443  (-0.092565, 0.000122)
epoch: 0001  step: 26/100    time: 2.15 sec  loss: -0.081987  (-0.082092, 0.000105)
epoch: 0001  step: 27/100    time: 2.14 sec  loss: -0.090648  (-0.090747, 0.000099)
epoch: 0001  step: 28/100    time: 2.09 sec  loss: -0.083064  (-0.083151, 0.000087)
epoch: 0001  step: 29/100    time: 2.17 sec  loss: -0.092592  (-0.092665, 0.000073)
epoch: 0001  step: 30/100    time: 2.36 sec  loss: -0.096082  (-0.096150, 0.000068)
epoch: 0001  step: 31/100    time: 2.33 sec  loss: -0.090190  (-0.090247, 0.000056)
epoch: 0001  step: 32/100    time: 2.19 sec  loss: -0.092891  (-0.092943, 0.000052)
epoch: 0001  step: 33/100    time: 2.21 sec  loss: -0.089943  (-0.089989, 0.000046)
epoch: 0001  step: 34/100    time: 2.12 sec  loss: -0.091960  (-0.092006, 0.000045)
epoch: 0001  step: 35/100    time: 2.12 sec  loss: -0.092257  (-0.092300, 0.000044)
epoch: 0001  step: 36/100    time: 2.29 sec  loss: -0.087525  (-0.087571, 0.000045)
epoch: 0001  step: 37/100    time: 2.40 sec  loss: -0.088956  (-0.089002, 0.000046)
epoch: 0001  step: 38/100    time: 2.15 sec  loss: -0.091113  (-0.091164, 0.000051)
epoch: 0001  step: 39/100    time: 2.14 sec  loss: -0.083791  (-0.083845, 0.000054)
