D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.84 sec  loss: -0.084277  (-0.084277, 0.000000)
epoch: 0001  step: 2/100     time: 1.32 sec  loss: -0.092045  (-0.092045, 0.000000)
epoch: 0001  step: 3/100     time: 1.38 sec  loss: -0.100693  (-0.100693, 0.000000)
epoch: 0001  step: 4/100     time: 1.37 sec  loss: -0.094895  (-0.094895, 0.000000)
epoch: 0001  step: 5/100     time: 1.38 sec  loss: -0.098706  (-0.098706, 0.000000)
epoch: 0001  step: 6/100     time: 1.37 sec  loss: -0.092227  (-0.092227, 0.000000)
epoch: 0001  step: 7/100     time: 1.36 sec  loss: -0.097434  (-0.097434, 0.000000)
epoch: 0001  step: 8/100     time: 1.38 sec  loss: -0.094257  (-0.094257, 0.000000)
epoch: 0001  step: 9/100     time: 1.39 sec  loss: -0.089608  (-0.089608, 0.000000)
epoch: 0001  step: 10/100    time: 1.37 sec  loss: -0.097763  (-0.097763, 0.000000)
epoch: 0001  step: 11/100    time: 1.37 sec  loss: -0.094035  (-0.094035, 0.000000)
epoch: 0001  step: 12/100    time: 1.39 sec  loss: -0.090691  (-0.090691, 0.000000)
epoch: 0001  step: 13/100    time: 1.38 sec  loss: -0.094376  (-0.094376, 0.000000)
epoch: 0001  step: 14/100    time: 1.38 sec  loss: -0.096217  (-0.096217, 0.000000)
epoch: 0001  step: 15/100    time: 1.39 sec  loss: -0.100319  (-0.100319, 0.000000)
epoch: 0001  step: 16/100    time: 1.39 sec  loss: -0.095461  (-0.095461, 0.000000)
epoch: 0001  step: 17/100    time: 1.39 sec  loss: -0.091618  (-0.091618, 0.000000)
epoch: 0001  step: 18/100    time: 1.37 sec  loss: -0.103259  (-0.103259, 0.000000)
epoch: 0001  step: 19/100    time: 1.38 sec  loss: -0.093911  (-0.093911, 0.000000)
epoch: 0001  step: 20/100    time: 1.38 sec  loss: -0.099468  (-0.099469, 0.000000)
epoch: 0001  step: 21/100    time: 1.38 sec  loss: -0.104785  (-0.104785, 0.000001)
epoch: 0001  step: 22/100    time: 1.39 sec  loss: -0.093396  (-0.093396, 0.000001)
epoch: 0001  step: 23/100    time: 1.38 sec  loss: -0.104128  (-0.104129, 0.000001)
epoch: 0001  step: 24/100    time: 1.39 sec  loss: -0.093372  (-0.093373, 0.000001)
epoch: 0001  step: 25/100    time: 1.38 sec  loss: -0.087999  (-0.087999, 0.000001)
epoch: 0001  step: 26/100    time: 1.38 sec  loss: -0.097249  (-0.097250, 0.000000)
epoch: 0001  step: 27/100    time: 1.39 sec  loss: -0.093167  (-0.093168, 0.000000)
epoch: 0001  step: 28/100    time: 1.38 sec  loss: -0.089281  (-0.089281, 0.000000)
epoch: 0001  step: 29/100    time: 1.37 sec  loss: -0.080814  (-0.080814, 0.000000)
epoch: 0001  step: 30/100    time: 1.40 sec  loss: -0.089977  (-0.089978, 0.000000)
