D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 63/100    time: 1.36 sec  loss: -0.087550  (-0.087554, 0.000004)
epoch: 0001  step: 64/100    time: 1.35 sec  loss: -0.094804  (-0.094808, 0.000004)
epoch: 0001  step: 65/100    time: 1.36 sec  loss: -0.095344  (-0.095348, 0.000004)
epoch: 0001  step: 66/100    time: 1.37 sec  loss: -0.099405  (-0.099409, 0.000004)
epoch: 0001  step: 67/100    time: 1.35 sec  loss: -0.096306  (-0.096310, 0.000004)
epoch: 0001  step: 68/100    time: 1.41 sec  loss: -0.091515  (-0.091519, 0.000004)
epoch: 0001  step: 69/100    time: 1.38 sec  loss: -0.092130  (-0.092134, 0.000004)
epoch: 0001  step: 70/100    time: 1.36 sec  loss: -0.098302  (-0.098306, 0.000004)
epoch: 0001  step: 71/100    time: 1.39 sec  loss: -0.105506  (-0.105509, 0.000004)
epoch: 0001  step: 72/100    time: 1.37 sec  loss: -0.091470  (-0.091473, 0.000003)
epoch: 0001  step: 73/100    time: 1.35 sec  loss: -0.097048  (-0.097051, 0.000003)
epoch: 0001  step: 74/100    time: 1.41 sec  loss: -0.096915  (-0.096917, 0.000003)
epoch: 0001  step: 75/100    time: 1.38 sec  loss: -0.100710  (-0.100713, 0.000003)
epoch: 0001  step: 76/100    time: 1.37 sec  loss: -0.098559  (-0.098561, 0.000002)
epoch: 0001  step: 77/100    time: 1.38 sec  loss: -0.099674  (-0.099677, 0.000003)
epoch: 0001  step: 78/100    time: 1.38 sec  loss: -0.098468  (-0.098471, 0.000003)
epoch: 0001  step: 79/100    time: 1.36 sec  loss: -0.093199  (-0.093203, 0.000004)
epoch: 0001  step: 80/100    time: 1.37 sec  loss: -0.084831  (-0.084835, 0.000004)
epoch: 0001  step: 81/100    time: 1.36 sec  loss: -0.109779  (-0.109784, 0.000005)
epoch: 0001  step: 82/100    time: 1.37 sec  loss: -0.094458  (-0.094463, 0.000005)
epoch: 0001  step: 83/100    time: 1.36 sec  loss: -0.109788  (-0.109793, 0.000005)
epoch: 0001  step: 84/100    time: 1.38 sec  loss: -0.094171  (-0.094176, 0.000005)
