D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0001  step: 1/100     time: 3.98 sec  loss: -0.092514  (-0.092514, 0.000000)
epoch: 0001  step: 2/100     time: 1.24 sec  loss: -0.086936  (-0.086936, 0.000000)
epoch: 0001  step: 3/100     time: 1.31 sec  loss: -0.099800  (-0.099800, 0.000000)
epoch: 0001  step: 4/100     time: 1.32 sec  loss: -0.079954  (-0.079954, 0.000000)
epoch: 0001  step: 5/100     time: 1.32 sec  loss: -0.091776  (-0.091776, 0.000000)
epoch: 0001  step: 6/100     time: 1.33 sec  loss: -0.086870  (-0.086870, 0.000000)
epoch: 0001  step: 7/100     time: 1.33 sec  loss: -0.082880  (-0.082880, 0.000000)
epoch: 0001  step: 8/100     time: 1.31 sec  loss: -0.077710  (-0.077711, 0.000000)
epoch: 0001  step: 9/100     time: 1.32 sec  loss: -0.090881  (-0.090881, 0.000000)
epoch: 0001  step: 10/100    time: 1.31 sec  loss: -0.087399  (-0.087400, 0.000000)
epoch: 0001  step: 11/100    time: 1.32 sec  loss: -0.081089  (-0.081090, 0.000001)
epoch: 0001  step: 12/100    time: 1.33 sec  loss: -0.079282  (-0.079283, 0.000001)
epoch: 0001  step: 13/100    time: 1.32 sec  loss: -0.084880  (-0.084882, 0.000001)
epoch: 0001  step: 14/100    time: 1.33 sec  loss: -0.087807  (-0.087809, 0.000002)
epoch: 0001  step: 15/100    time: 1.32 sec  loss: -0.087653  (-0.087657, 0.000004)
epoch: 0001  step: 16/100    time: 1.32 sec  loss: -0.086642  (-0.086648, 0.000006)
epoch: 0001  step: 17/100    time: 1.32 sec  loss: -0.082110  (-0.082119, 0.000009)
epoch: 0001  step: 18/100    time: 1.32 sec  loss: -0.081238  (-0.081254, 0.000016)
epoch: 0001  step: 19/100    time: 1.33 sec  loss: -0.083501  (-0.083527, 0.000025)
epoch: 0001  step: 20/100    time: 1.30 sec  loss: -0.093841  (-0.093883, 0.000042)
epoch: 0001  step: 21/100    time: 1.32 sec  loss: -0.088360  (-0.088433, 0.000072)
epoch: 0001  step: 22/100    time: 1.33 sec  loss: -0.088152  (-0.088270, 0.000118)
epoch: 0001  step: 23/100    time: 1.33 sec  loss: -0.097514  (-0.097651, 0.000137)
epoch: 0001  step: 24/100    time: 1.32 sec  loss: -0.091215  (-0.091342, 0.000127)
epoch: 0001  step: 25/100    time: 1.33 sec  loss: -0.090091  (-0.090193, 0.000103)
epoch: 0001  step: 26/100    time: 1.32 sec  loss: -0.088619  (-0.088702, 0.000083)
epoch: 0001  step: 27/100    time: 1.32 sec  loss: -0.087750  (-0.087819, 0.000069)
epoch: 0001  step: 28/100    time: 1.33 sec  loss: -0.091428  (-0.091485, 0.000057)
epoch: 0001  step: 29/100    time: 1.32 sec  loss: -0.092528  (-0.092578, 0.000050)
epoch: 0001  step: 30/100    time: 1.32 sec  loss: -0.094055  (-0.094101, 0.000047)
epoch: 0001  step: 31/100    time: 1.32 sec  loss: -0.084204  (-0.084248, 0.000044)
epoch: 0001  step: 32/100    time: 1.34 sec  loss: -0.089317  (-0.089360, 0.000043)
epoch: 0001  step: 33/100    time: 1.34 sec  loss: -0.089069  (-0.089112, 0.000043)
epoch: 0001  step: 34/100    time: 1.33 sec  loss: -0.099407  (-0.099452, 0.000046)
