file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
A0131.npz,0.730444,0.315639,0.836454,0.735954,0.817656,0.770618,0.821791,0.853828,0.797419,0.671887,0.672573,0.801985,0.767668,0.799805,0.726959,0.295203,0.697248,0.798424,0.403144,0.855462,0.764553,0.847342,0.809244,0.868380,0.880238,0.811387,0.727898,0.718374,0.732556,0.460755,0.766372,0.402129
A022.npz,0.793688,0.206309,0.863710,0.770732,0.888091,0.802092,0.883073,0.886824,0.855145,0.800295,0.800835,0.795407,0.825815,0.841120,0.791931,0.801053,0.680995,0.817891,0.472548,0.867513,0.772164,0.870567,0.823692,0.889350,0.882933,0.836722,0.776527,0.773720,0.831703,0.713210,0.774697,0.420272
A034.npz,0.804399,0.189948,0.863345,0.776451,0.884146,0.819018,0.876438,0.875460,0.858391,0.812968,0.794090,0.806534,0.828724,0.879944,0.820542,0.779826,0.745682,0.840464,0.379442,0.870907,0.785099,0.882384,0.829651,0.890895,0.880826,0.843234,0.836744,0.808171,0.844093,0.772898,0.827723,0.417877
A062.npz,0.808288,0.199575,0.873551,0.785614,0.864408,0.803853,0.885553,0.878428,0.852384,0.809258,0.799080,0.816435,0.816646,0.894048,0.851416,0.827736,0.704408,0.841449,0.454198,0.862726,0.768049,0.879111,0.832362,0.890391,0.889831,0.857687,0.859340,0.839714,0.818199,0.799626,0.814429,0.378713
CP009.npz,0.801887,0.201913,0.871341,0.782782,0.868916,0.822309,0.905081,0.899418,0.833642,0.787016,0.747573,0.786758,0.850206,0.915702,0.846443,0.824628,0.728555,0.815521,0.433213,0.875631,0.785893,0.868362,0.827280,0.905326,0.875296,0.806136,0.853498,0.808176,0.822758,0.802395,0.772438,0.334307
D025.npz,0.802919,0.196463,0.870423,0.780178,0.858811,0.836184,0.911292,0.894268,0.839214,0.807941,0.800228,0.805755,0.804205,0.918205,0.845027,0.854312,0.668805,0.816569,0.406363,0.859050,0.763542,0.839255,0.814036,0.897474,0.863209,0.811097,0.833552,0.817671,0.851511,0.841856,0.797165,0.380368
D031.npz,0.806923,0.155579,0.864951,0.776022,0.855410,0.823721,0.898977,0.899601,0.835869,0.770720,0.730422,0.816050,0.861431,0.917010,0.861552,0.833447,0.687055,0.816265,0.419420,0.872416,0.782922,0.857076,0.814809,0.905835,0.894875,0.829859,0.842577,0.771737,0.851922,0.847606,0.785586,0.482544
D032.npz,0.795484,0.160520,0.868133,0.769051,0.869289,0.845618,0.919896,0.897491,0.830283,0.808672,0.724052,0.821411,0.839045,0.920365,0.808275,0.797719,0.749505,0.845705,0.365535,0.869133,0.765981,0.863109,0.837594,0.911186,0.829895,0.822822,0.816400,0.746013,0.805818,0.844948,0.772968,0.298596
D040.npz,0.785662,0.216893,0.859379,0.749782,0.824252,0.839104,0.889032,0.880911,0.862675,0.774145,0.764098,0.794191,0.839658,0.904646,0.821312,0.798982,0.700000,0.786285,0.195382,0.865891,0.752422,0.861909,0.841984,0.907976,0.879733,0.821651,0.849989,0.792460,0.814782,0.749767,0.759230,0.388244
D055.npz,0.799513,0.156366,0.852935,0.756301,0.889665,0.835377,0.909129,0.878181,0.848655,0.797972,0.761217,0.793901,0.827559,0.910301,0.843407,0.777830,0.662364,0.797021,0.423832,0.857283,0.760092,0.884122,0.830327,0.911555,0.868828,0.826020,0.847506,0.788674,0.852415,0.798431,0.760902,0.433575
