file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
A0131.npz,0.725582,0.073666,0.806310,0.702683,0.821306,0.773713,0.821282,0.867341,0.806842,0.667517,0.617682,0.798557,0.771793,0.797949,0.736349,0.335421,0.717908,0.805968,0.385194,0.830183,0.734252,0.837485,0.810687,0.866897,0.879343,0.797161,0.716298,0.726456,0.729068,0.442887,0.769475,0.393461
A022.npz,0.785465,0.050027,0.843617,0.737975,0.881659,0.802649,0.878846,0.889916,0.845657,0.790876,0.773617,0.788530,0.810524,0.840767,0.782777,0.792453,0.684693,0.826599,0.465686,0.846970,0.739440,0.861842,0.825276,0.888530,0.889590,0.835768,0.762679,0.769353,0.822081,0.707135,0.784702,0.393739
A034.npz,0.793421,0.055404,0.842460,0.744411,0.880255,0.812176,0.869694,0.874025,0.853855,0.794698,0.758319,0.787698,0.807123,0.881437,0.816822,0.738883,0.725470,0.835220,0.377807,0.853139,0.757824,0.873802,0.830604,0.888800,0.884122,0.839171,0.830158,0.793147,0.847158,0.767972,0.825603,0.410763
A062.npz,0.804759,0.042482,0.857914,0.761143,0.865276,0.805371,0.878811,0.881380,0.845119,0.807510,0.783610,0.816050,0.805932,0.893665,0.855389,0.835170,0.725979,0.838822,0.458488,0.841630,0.739195,0.873018,0.832785,0.888035,0.890439,0.836639,0.847418,0.822919,0.828700,0.805213,0.819493,0.401649
CP009.npz,0.793151,0.047859,0.853116,0.756460,0.865000,0.820634,0.901849,0.904735,0.828114,0.769411,0.723911,0.771142,0.846473,0.913199,0.850268,0.838153,0.728070,0.814561,0.391515,0.858958,0.762521,0.859290,0.822479,0.903944,0.868102,0.794434,0.834072,0.799034,0.831036,0.823253,0.758575,0.302217
D025.npz,0.796620,0.050499,0.851299,0.749770,0.847360,0.842979,0.911463,0.898549,0.824830,0.790774,0.771401,0.811312,0.808143,0.915769,0.840816,0.847826,0.684877,0.819152,0.416193,0.839973,0.736166,0.807186,0.817068,0.897718,0.861220,0.807652,0.829555,0.803623,0.852839,0.847015,0.794878,0.371198
D031.npz,0.802505,0.031716,0.845060,0.746361,0.847334,0.827401,0.903284,0.900231,0.826011,0.760061,0.702654,0.812724,0.853784,0.919915,0.852141,0.815986,0.710098,0.825596,0.441678,0.853721,0.755787,0.846852,0.820231,0.906030,0.886410,0.826944,0.825605,0.761762,0.851949,0.863787,0.798927,0.486834
D032.npz,0.788518,0.034465,0.848125,0.735334,0.861903,0.841643,0.915598,0.903475,0.822771,0.799257,0.705011,0.827411,0.841797,0.917906,0.811344,0.769749,0.745405,0.845837,0.388889,0.848165,0.733870,0.852544,0.830878,0.909194,0.821215,0.809487,0.802900,0.745915,0.813189,0.861670,0.767003,0.278067
D040.npz,0.782605,0.057051,0.840832,0.718503,0.813191,0.835748,0.890976,0.886378,0.845458,0.782595,0.791932,0.813220,0.839403,0.903936,0.812721,0.784394,0.662988,0.796456,0.267537,0.845910,0.721968,0.845454,0.833178,0.906996,0.879153,0.805345,0.850444,0.805043,0.805539,0.763152,0.772350,0.357362
D055.npz,0.789594,0.039322,0.827955,0.717136,0.883777,0.829333,0.903342,0.883841,0.838027,0.789585,0.744807,0.795000,0.817408,0.911307,0.842825,0.781646,0.671924,0.806728,0.376471,0.836555,0.729992,0.879761,0.824180,0.908170,0.864179,0.813434,0.834950,0.768617,0.845502,0.784339,0.765061,0.411976
EDP016.npz,0.804563,0.040848,0.843754,0.722940,0.861114,0.831698,0.899438,0.891667,0.821233,0.807750,0.766614,0.819770,0.815686,0.915525,0.841971,0.828389,0.788126,0.841971,0.471984,0.845814,0.736480,0.868096,0.825458,0.904790,0.869078,0.809033,0.839233,0.815264,0.833457,0.809816,0.774225,0.436528
EDP026.npz,0.804090,0.051081,0.855102,0.744389,0.840376,0.840620,0.905259,0.889308,0.826808,0.800443,0.818149,0.825175,0.831563,0.916092,0.837456,0.831314,0.716418,0.820336,0.395062,0.848919,0.737032,0.854792,0.836599,0.904184,0.879875,0.801028,0.843455,0.798565,0.860514,0.854510,0.780475,0.428875
