epoch,ncc,ssim,jneg_pct,smoothness
0,0.795345551886801,0.6825483575783908,0.0,4.127637592374271e-13
1,0.8163838790634931,0.7004207569714834,0.0,0.011115086382803492
2,0.8461060170399941,0.7177204712634293,0.0,0.029799092318001895
3,0.8606158616179127,0.729505456582452,0.0,0.0342828202931017
4,0.8691800186189554,0.7381514429267444,0.0,0.040930462080661714
5,0.8736917447235625,0.7421419793897387,0.0,0.04032385396431753
6,0.8748968960875172,0.7441798383452227,0.0,0.03911415414225657
7,0.8804854437456293,0.747355571500359,0.0,0.04326518031500154
8,0.8806645910618669,0.7450628585247457,0.0,0.0406721279348673
9,0.8847276467387959,0.7527330284265144,0.0,0.04910138730153094
10,0.8847689264911717,0.7526983305399977,0.0,0.04836365368446114
11,0.8832467430728977,0.7504465288271461,0.0,0.04240662773273948
12,0.8856742624509133,0.751985063384617,0.0,0.04505352929463389
13,0.8840609667664867,0.7499084846868765,0.0,0.04296472035368147
14,0.8870518157037638,0.7554392093288569,0.0,0.04763042866903499
15,0.885984186398781,0.754784129904466,0.0,0.04687743161615553
16,0.8863339484748194,0.7530726661887814,0.0,0.045534520269908264
17,0.8856732542231932,0.7521770657323918,0.0,0.04409709520306501
18,0.8885435118513593,0.7568079677254556,0.0,0.04827066764661695
19,0.8884552323212058,0.757112805752308,0.0,0.050411688935374684
20,0.8889031521344589,0.7573725352129135,0.0,0.04946004991889221
21,0.8869447061571024,0.754495238986566,0.0,0.04588741707611608
22,0.8874019505613941,0.7550026016356879,0.0,0.046919069134519764
23,0.889301728394072,0.7578005613250217,0.0,0.05000341914680992
24,0.8880244362152229,0.7548386802160992,0.0,0.046598950215473264
25,0.8888622896145966,0.7570400312586487,0.0,0.04958000202205474
26,0.8881933840654664,0.7572474477565618,0.0,0.04842894296734041
27,0.8867573313793894,0.753836441995656,0.0,0.047073784174784326
28,0.8895911695593495,0.7569575011058672,0.0,0.04921492808241934
29,0.889021476446572,0.756799135941796,0.0,0.04775398377214669
30,0.8888698371790223,0.7572710468118262,0.0,0.04801883962463146
31,0.8889247704360445,0.7579746361153238,0.0,0.04899577173439912
32,0.889038925453768,0.7565617821735459,0.0,0.05093154363271039
33,0.8892650543633154,0.7573703741332014,0.0,0.0505455232302311
34,0.8878065044597044,0.7563602896956593,0.0,0.049486705346695956
35,0.8901307693982529,0.7577419642776809,0.0,0.05473716266776861
36,0.8908189009811919,0.7599413957237562,0.0,0.05548653426536722
37,0.8883708351749485,0.7569640253321724,0.0,0.050395972770244137
38,0.891133930723546,0.7583848692441605,0.0,0.056684101500619456
39,0.8891807632931208,0.7570218088002204,0.0,0.052166998829353224
40,0.8897710099058637,0.7581864144693989,0.0,0.05237105528733267
41,0.8893942156080472,0.757933694140729,0.0,0.05509416619513058
42,0.8904718483908701,0.7585624307294399,0.0,0.05576289018766039
43,0.8921726366220895,0.760921650691673,0.0,0.06075378721362864
44,0.890669327671245,0.7591895015861981,0.0,0.05427625065203756
45,0.8890350117521771,0.7579480559097105,0.0,0.054913659937190426
46,0.8911500664080604,0.7593588436125867,0.0,0.05582451510294419
47,0.8911920654571662,0.7599521127824996,0.0,0.059154177578836994
48,0.8887101472434351,0.7570669298975586,0.0,0.050785334214520785
49,0.8909731527506295,0.7593517867684502,0.0,0.057924060916559675
50,0.8912076162079633,0.7580879048285434,0.0,0.0576715719968996
51,0.8900945641226687,0.7578595272563414,0.0,0.05661169108855775
52,0.8909497705556578,0.759242831862017,0.0,0.056616573988152195
53,0.8914214140277797,0.7593656734198528,0.0,0.061542073850740946
54,0.888264952069622,0.7563763117350921,0.0,0.05379521621931818
55,0.8917422092567056,0.7605298676656832,0.0,0.060139215418129714
56,0.890812182830552,0.7595119749394406,0.0,0.05886519516589341
57,0.8911276853690713,0.7588935043719801,0.0,0.05703580016921416
58,0.890925430645377,0.7586911098447867,0.0,0.05763661224687062
59,0.8896036602682986,0.758575475606152,0.0,0.053659375963172225
60,0.8927279185440581,0.7614559912828842,0.0,0.06469261915012563
61,0.8903684696908725,0.7581933037045804,0.0,0.0547323837724388
62,0.8911363795652227,0.7587519779319352,0.0,0.0567874965066548
63,0.8914763695102627,0.75994733635526,0.0,0.059399215740317445
64,0.8908292600664042,0.7591054103317264,0.0,0.06008452790497281
65,0.8908184372772605,0.7586587392745688,0.0,0.058459713347690276
66,0.8911553762726865,0.7598996864140494,0.0,0.05876224665010695
67,0.8914318599943387,0.758970773069603,0.0,0.05815216735048788
68,0.8922704629978891,0.7606185467805414,0.0,0.06522287986777975
69,0.8922733826152349,0.7612626236244173,0.0,0.06163542285873318
70,0.8912052673808599,0.7586924468099515,0.0,0.06113537342950576
71,0.8927549143969002,0.7613002854710612,0.0,0.06382603654381425
72,0.8903917963221922,0.7595737582957268,0.0,0.06069813215990661
73,0.888622098049875,0.75744833910696,0.0,0.05585941761609767
74,0.8926483321998079,0.7612671842109656,0.0,0.06409285437627459
75,0.8909034779516317,0.7585985174181883,0.0,0.05934620149812456
76,0.8905535592871198,0.7591831976500316,0.0,0.05838078027492452
77,0.8918065408528861,0.7601661007920977,0.0,0.058156420602029094
78,0.8909606580006875,0.7592291013010475,0.0,0.06388177934607839
79,0.8922531655279257,0.761012981600342,0.0,0.06172893149383619
80,0.8919693534657106,0.7595836677259544,0.0,0.055770846205108436
81,0.8916731062581984,0.759989504817809,0.0,0.061008723001824534
82,0.8919382974252863,0.7600971689806453,0.0,0.06226124497469893
83,0.8901588118682473,0.7589339855760462,0.0,0.05538137852889091
84,0.8918439170061532,0.7605664239638893,0.0,0.06343763767567984
85,0.892292162119332,0.7607043324020649,0.0,0.06414758630878276
