file,dice_mean,jneg_pct,label_2,label_3,label_4,label_7,label_8,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_24,label_28,label_31,label_41,label_42,label_43,label_46,label_47,label_49,label_50,label_51,label_52,label_53,label_54,label_60,label_63
PILOT014.npz,0.867186,0.000000,0.846582,0.780027,0.898031,0.856513,0.924988,0.945636,0.904949,0.913813,0.893732,0.826343,0.869550,0.948875,0.863124,0.880481,0.811388,0.908935,0.599891,0.848748,0.786293,0.903713,0.877184,0.931514,0.945361,0.908488,0.922181,0.899437,0.868118,0.884477,0.916171,0.651026
PILOT018.npz,0.872937,0.000000,0.850078,0.783658,0.906821,0.857337,0.906095,0.947061,0.902626,0.920227,0.909733,0.859428,0.867520,0.947966,0.873512,0.876419,0.824401,0.907748,0.697314,0.854108,0.790830,0.886494,0.880932,0.921776,0.948025,0.899326,0.922543,0.900429,0.866190,0.890405,0.917727,0.671378
PILOT051.npz,0.860016,0.000000,0.853506,0.791092,0.898091,0.874294,0.935509,0.941066,0.902564,0.920448,0.884091,0.819296,0.859375,0.946974,0.875665,0.872207,0.784216,0.893329,0.673981,0.840615,0.778426,0.882984,0.853485,0.894626,0.922542,0.897408,0.909307,0.899411,0.859746,0.808059,0.883119,0.645045
PILOT055.npz,0.866198,0.000000,0.850969,0.792130,0.882595,0.880706,0.932852,0.935799,0.897757,0.917253,0.877834,0.846626,0.859350,0.945916,0.877451,0.897687,0.744204,0.899448,0.660134,0.838530,0.778690,0.861677,0.876111,0.930583,0.933743,0.891328,0.917377,0.910342,0.874067,0.891561,0.908518,0.674689
PILOT062.npz,0.857259,0.000000,0.842098,0.780743,0.855933,0.867454,0.916473,0.936214,0.893573,0.920801,0.901326,0.858643,0.847516,0.940128,0.874226,0.875558,0.732041,0.893113,0.603226,0.850931,0.792665,0.867148,0.865185,0.927661,0.926088,0.890541,0.910012,0.887803,0.861954,0.884886,0.902802,0.611036
T008.npz,0.861158,0.000000,0.852061,0.792552,0.889574,0.863160,0.929862,0.939186,0.893959,0.918738,0.893948,0.819927,0.864570,0.943928,0.868407,0.887834,0.721094,0.905485,0.617585,0.852555,0.794776,0.875179,0.862266,0.931442,0.926037,0.875388,0.924935,0.872631,0.883399,0.866207,0.899833,0.668211
T013.npz,0.858153,0.000000,0.834906,0.771292,0.879843,0.859417,0.920383,0.942330,0.892719,0.908633,0.856140,0.787976,0.866423,0.949142,0.857300,0.872703,0.767509,0.889595,0.643228,0.841164,0.777987,0.880674,0.866837,0.917045,0.937287,0.880696,0.910951,0.884340,0.885629,0.880248,0.898760,0.683426
T037.npz,0.866296,0.000000,0.844930,0.789932,0.873494,0.883855,0.930371,0.945144,0.887091,0.920219,0.911929,0.820108,0.873928,0.949348,0.867494,0.877510,0.746626,0.904476,0.654074,0.847599,0.794532,0.863176,0.886462,0.930046,0.937790,0.867254,0.915339,0.913712,0.873583,0.883416,0.914691,0.680749
T053.npz,0.869709,0.000000,0.857024,0.798683,0.886112,0.845723,0.924265,0.935894,0.891456,0.920343,0.901020,0.854226,0.821753,0.949960,0.871991,0.869261,0.775385,0.908366,0.691522,0.850100,0.792297,0.885548,0.873522,0.928501,0.940102,0.907935,0.926504,0.905645,0.886349,0.879622,0.908089,0.704073
T054.npz,0.864145,0.000000,0.844045,0.780993,0.871813,0.878072,0.934029,0.940572,0.883613,0.916589,0.902070,0.830097,0.856013,0.951308,0.857808,0.873196,0.727554,0.899698,0.628239,0.840597,0.780101,0.884914,0.892210,0.937316,0.943449,0.888616,0.922770,0.897918,0.882808,0.885377,0.901717,0.690841
T070.npz,0.867164,0.000000,0.843218,0.785738,0.853449,0.870204,0.927602,0.939786,0.885509,0.921652,0.896619,0.829971,0.875723,0.949484,0.888346,0.878112,0.806404,0.903193,0.677083,0.840765,0.782483,0.853271,0.876533,0.928625,0.940380,0.874223,0.924009,0.906544,0.872813,0.886994,0.903677,0.692521
T073.npz,0.865804,0.000000,0.836541,0.780197,0.875528,0.880671,0.936615,0.926261,0.876436,0.917735,0.886368,0.869323,0.870374,0.949238,0.871922,0.876600,0.795948,0.904518,0.634868,0.837391,0.783053,0.852848,0.885051,0.937447,0.933266,0.871937,0.917932,0.905061,0.868092,0.878622,0.907016,0.707252
T076.npz,0.861447,0.000000,0.845193,0.799357,0.884056,0.877297,0.931808,0.935840,0.901871,0.918024,0.911570,0.817684,0.860580,0.946011,0.869874,0.884964,0.768473,0.897935,0.605809,0.841757,0.794673,0.858467,0.882511,0.935727,0.938104,0.887494,0.905525,0.879031,0.882263,0.876584,0.890679,0.614255
T079.npz,0.855654,0.000000,0.835307,0.780823,0.861498,0.825426,0.903032,0.931504,0.863864,0.913472,0.889804,0.856262,0.809048,0.941174,0.879659,0.878726,0.773564,0.891084,0.659563,0.844305,0.791141,0.865947,0.837420,0.916201,0.935263,0.869035,0.917001,0.900590,0.885776,0.872177,0.896177,0.644773
